1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 80000000419A0121
Is Mission Active?  true
Mission Start:  Fri Oct 16 08:48:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1639
Total Samples:  28565
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
10/25/20 6:48:00 PM,C,28.5
10/25/20 7:18:00 PM,C,26
10/25/20 7:48:00 PM,C,28
10/25/20 8:18:00 PM,C,28
10/25/20 8:48:00 PM,C,28
10/25/20 9:18:00 PM,C,27.5
10/25/20 9:48:00 PM,C,27.5
10/25/20 10:18:00 PM,C,28
10/25/20 10:48:00 PM,C,28
10/25/20 11:18:00 PM,C,28
10/25/20 11:48:00 PM,C,25.5
10/26/20 12:18:00 AM,C,25.5
10/26/20 12:48:00 AM,C,25.5
10/26/20 1:18:00 AM,C,25
10/26/20 1:48:00 AM,C,24.5
10/26/20 2:18:00 AM,C,25.5
10/26/20 2:48:00 AM,C,25.5
10/26/20 3:18:00 AM,C,25.5
10/26/20 3:48:00 AM,C,25
10/26/20 4:18:00 AM,C,25
10/26/20 4:48:00 AM,C,25
10/26/20 5:18:00 AM,C,25
10/26/20 5:48:00 AM,C,25
10/26/20 6:18:00 AM,C,25
10/26/20 6:48:00 AM,C,26
10/26/20 7:18:00 AM,C,26
10/26/20 7:48:00 AM,C,27.5
10/26/20 8:18:00 AM,C,31.5
10/26/20 8:48:00 AM,C,30
10/26/20 9:18:00 AM,C,36.5
10/26/20 9:48:00 AM,C,40
10/26/20 10:18:00 AM,C,42
10/26/20 10:48:00 AM,C,28.5
10/26/20 11:18:00 AM,C,39.5
10/26/20 11:48:00 AM,C,43.5
10/26/20 12:18:00 PM,C,42.5
10/26/20 12:48:00 PM,C,42.5
10/26/20 1:18:00 PM,C,43.5
10/26/20 1:48:00 PM,C,42.5
10/26/20 2:18:00 PM,C,40
10/26/20 2:48:00 PM,C,38.5
10/26/20 3:18:00 PM,C,38
10/26/20 3:48:00 PM,C,34
10/26/20 4:18:00 PM,C,33
10/26/20 4:48:00 PM,C,31.5
10/26/20 5:18:00 PM,C,29.5
10/26/20 5:48:00 PM,C,28
10/26/20 6:18:00 PM,C,27
10/26/20 6:48:00 PM,C,27
10/26/20 7:18:00 PM,C,27.5
10/26/20 7:48:00 PM,C,27.5
10/26/20 8:18:00 PM,C,27.5
10/26/20 8:48:00 PM,C,27
10/26/20 9:18:00 PM,C,27
10/26/20 9:48:00 PM,C,27
10/26/20 10:18:00 PM,C,26.5
10/26/20 10:48:00 PM,C,26.5
10/26/20 11:18:00 PM,C,25.5
10/26/20 11:48:00 PM,C,25.5
10/27/20 12:18:00 AM,C,25.5
10/27/20 12:48:00 AM,C,26
10/27/20 1:18:00 AM,C,25.5
10/27/20 1:48:00 AM,C,26.5
10/27/20 2:18:00 AM,C,26
10/27/20 2:48:00 AM,C,25.5
10/27/20 3:18:00 AM,C,25
10/27/20 3:48:00 AM,C,25.5
10/27/20 4:18:00 AM,C,24.5
10/27/20 4:48:00 AM,C,25
10/27/20 5:18:00 AM,C,24.5
10/27/20 5:48:00 AM,C,25
10/27/20 6:18:00 AM,C,24.5
10/27/20 6:48:00 AM,C,25.5
10/27/20 7:18:00 AM,C,26
10/27/20 7:48:00 AM,C,26.5
10/27/20 8:18:00 AM,C,29.5
10/27/20 8:48:00 AM,C,27.5
10/27/20 9:18:00 AM,C,32.5
10/27/20 9:48:00 AM,C,38
10/27/20 10:18:00 AM,C,39
10/27/20 10:48:00 AM,C,42.5
10/27/20 11:18:00 AM,C,46
10/27/20 11:48:00 AM,C,44
10/27/20 12:18:00 PM,C,45
10/27/20 12:48:00 PM,C,46.5
10/27/20 1:18:00 PM,C,40.5
10/27/20 1:48:00 PM,C,43
10/27/20 2:18:00 PM,C,42
10/27/20 2:48:00 PM,C,40.5
10/27/20 3:18:00 PM,C,40.5
10/27/20 3:48:00 PM,C,37.5
10/27/20 4:18:00 PM,C,32.5
10/27/20 4:48:00 PM,C,30.5
10/27/20 5:18:00 PM,C,29
10/27/20 5:48:00 PM,C,27.5
10/27/20 6:18:00 PM,C,27
10/27/20 6:48:00 PM,C,26.5
10/27/20 7:18:00 PM,C,26.5
10/27/20 7:48:00 PM,C,27
10/27/20 8:18:00 PM,C,24.5
10/27/20 8:48:00 PM,C,24.5
10/27/20 9:18:00 PM,C,24.5
10/27/20 9:48:00 PM,C,25
10/27/20 10:18:00 PM,C,25
10/27/20 10:48:00 PM,C,24.5
10/27/20 11:18:00 PM,C,25
10/27/20 11:48:00 PM,C,25
10/28/20 12:18:00 AM,C,25
10/28/20 12:48:00 AM,C,25
10/28/20 1:18:00 AM,C,25
10/28/20 1:48:00 AM,C,25.5
10/28/20 2:18:00 AM,C,25.5
10/28/20 2:48:00 AM,C,24.5
10/28/20 3:18:00 AM,C,23.5
10/28/20 3:48:00 AM,C,24.5
10/28/20 4:18:00 AM,C,25.5
10/28/20 4:48:00 AM,C,25.5
10/28/20 5:18:00 AM,C,25
10/28/20 5:48:00 AM,C,25
10/28/20 6:18:00 AM,C,25.5
10/28/20 6:48:00 AM,C,26
10/28/20 7:18:00 AM,C,26
10/28/20 7:48:00 AM,C,28
10/28/20 8:18:00 AM,C,30
10/28/20 8:48:00 AM,C,31.5
10/28/20 9:18:00 AM,C,36
10/28/20 9:48:00 AM,C,39
10/28/20 10:18:00 AM,C,32.5
10/28/20 10:48:00 AM,C,27.5
10/28/20 11:18:00 AM,C,37
10/28/20 11:48:00 AM,C,42
10/28/20 12:18:00 PM,C,34.5
10/28/20 12:48:00 PM,C,34.5
10/28/20 1:18:00 PM,C,27.5
10/28/20 1:48:00 PM,C,35.5
10/28/20 2:18:00 PM,C,37
10/28/20 2:48:00 PM,C,28.5
10/28/20 3:18:00 PM,C,28.5
10/28/20 3:48:00 PM,C,27
10/28/20 4:18:00 PM,C,28
10/28/20 4:48:00 PM,C,27
10/28/20 5:18:00 PM,C,25.5
10/28/20 5:48:00 PM,C,25
10/28/20 6:18:00 PM,C,25
10/28/20 6:48:00 PM,C,25
10/28/20 7:18:00 PM,C,25.5
10/28/20 7:48:00 PM,C,24
10/28/20 8:18:00 PM,C,24
10/28/20 8:48:00 PM,C,24
10/28/20 9:18:00 PM,C,24
10/28/20 9:48:00 PM,C,24.5
10/28/20 10:18:00 PM,C,25
10/28/20 10:48:00 PM,C,24.5
10/28/20 11:18:00 PM,C,24.5
10/28/20 11:48:00 PM,C,24.5
10/29/20 12:18:00 AM,C,24.5
10/29/20 12:48:00 AM,C,24.5
10/29/20 1:18:00 AM,C,25
10/29/20 1:48:00 AM,C,24.5
10/29/20 2:18:00 AM,C,24.5
10/29/20 2:48:00 AM,C,24.5
10/29/20 3:18:00 AM,C,24.5
10/29/20 3:48:00 AM,C,24
10/29/20 4:18:00 AM,C,24
10/29/20 4:48:00 AM,C,24
10/29/20 5:18:00 AM,C,24.5
10/29/20 5:48:00 AM,C,24.5
10/29/20 6:18:00 AM,C,24
10/29/20 6:48:00 AM,C,24.5
10/29/20 7:18:00 AM,C,24.5
10/29/20 7:48:00 AM,C,25
10/29/20 8:18:00 AM,C,25.5
10/29/20 8:48:00 AM,C,26
10/29/20 9:18:00 AM,C,27
10/29/20 9:48:00 AM,C,26
10/29/20 10:18:00 AM,C,31
10/29/20 10:48:00 AM,C,30.5
10/29/20 11:18:00 AM,C,35
10/29/20 11:48:00 AM,C,33.5
10/29/20 12:18:00 PM,C,31
10/29/20 12:48:00 PM,C,38
10/29/20 1:18:00 PM,C,29.5
10/29/20 1:48:00 PM,C,29.5
10/29/20 2:18:00 PM,C,32
10/29/20 2:48:00 PM,C,33
10/29/20 3:18:00 PM,C,34
