1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: F200000041302C21
Is Mission Active?  true
Mission Start:  Fri Jan 17 09:43:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1535
Total Samples:  15354
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
1/17/20 9:43:00 AM,C,31
1/17/20 10:13:00 AM,C,27
1/17/20 10:43:00 AM,C,27.5
1/17/20 11:13:00 AM,C,28.5
1/17/20 11:43:00 AM,C,29
1/17/20 12:13:00 PM,C,29.5
1/17/20 12:43:00 PM,C,30
1/17/20 1:13:00 PM,C,30.5
1/17/20 1:43:00 PM,C,30.5
1/17/20 2:13:00 PM,C,30.5
1/17/20 2:43:00 PM,C,31.5
1/17/20 3:13:00 PM,C,31.5
1/17/20 3:43:00 PM,C,31
1/17/20 4:13:00 PM,C,31
1/17/20 4:43:00 PM,C,30.5
1/17/20 5:13:00 PM,C,29.5
1/17/20 5:43:00 PM,C,29
1/17/20 6:13:00 PM,C,27.5
1/17/20 6:43:00 PM,C,27
1/17/20 7:13:00 PM,C,26.5
1/17/20 7:43:00 PM,C,26.5
1/17/20 8:13:00 PM,C,26
1/17/20 8:43:00 PM,C,26
1/17/20 9:13:00 PM,C,25.5
1/17/20 9:43:00 PM,C,25.5
1/17/20 10:13:00 PM,C,25
1/17/20 10:43:00 PM,C,25
1/17/20 11:13:00 PM,C,24.5
1/17/20 11:43:00 PM,C,24.5
1/18/20 12:13:00 AM,C,24
1/18/20 12:43:00 AM,C,24
1/18/20 1:13:00 AM,C,24
1/18/20 1:43:00 AM,C,24
1/18/20 2:13:00 AM,C,24
1/18/20 2:43:00 AM,C,23.5
1/18/20 3:13:00 AM,C,24
1/18/20 3:43:00 AM,C,23.5
1/18/20 4:13:00 AM,C,23.5
1/18/20 4:43:00 AM,C,23.5
1/18/20 5:13:00 AM,C,24
1/18/20 5:43:00 AM,C,24.5
1/18/20 6:13:00 AM,C,24.5
1/18/20 6:43:00 AM,C,24.5
1/18/20 7:13:00 AM,C,24.5
1/18/20 7:43:00 AM,C,25
1/18/20 8:13:00 AM,C,25.5
1/18/20 8:43:00 AM,C,25.5
1/18/20 9:13:00 AM,C,26.5
1/18/20 9:43:00 AM,C,27
1/18/20 10:13:00 AM,C,27
1/18/20 10:43:00 AM,C,27.5
1/18/20 11:13:00 AM,C,27.5
1/18/20 11:43:00 AM,C,28
1/18/20 12:13:00 PM,C,29
1/18/20 12:43:00 PM,C,29
1/18/20 1:13:00 PM,C,29.5
1/18/20 1:43:00 PM,C,29.5
1/18/20 2:13:00 PM,C,29.5
1/18/20 2:43:00 PM,C,30
1/18/20 3:13:00 PM,C,30
1/18/20 3:43:00 PM,C,29.5
1/18/20 4:13:00 PM,C,29
1/18/20 4:43:00 PM,C,28
1/18/20 5:13:00 PM,C,27.5
1/18/20 5:43:00 PM,C,27.5
1/18/20 6:13:00 PM,C,26.5
1/18/20 6:43:00 PM,C,26
1/18/20 7:13:00 PM,C,25.5
1/18/20 7:43:00 PM,C,25.5
1/18/20 8:13:00 PM,C,25
1/18/20 8:43:00 PM,C,25
1/18/20 9:13:00 PM,C,25
1/18/20 9:43:00 PM,C,24.5
1/18/20 10:13:00 PM,C,24.5
1/18/20 10:43:00 PM,C,24.5
1/18/20 11:13:00 PM,C,24.5
1/18/20 11:43:00 PM,C,24.5
1/19/20 12:13:00 AM,C,24.5
1/19/20 12:43:00 AM,C,24.5
1/19/20 1:13:00 AM,C,24
1/19/20 1:43:00 AM,C,24.5
1/19/20 2:13:00 AM,C,23.5
1/19/20 2:43:00 AM,C,23.5
1/19/20 3:13:00 AM,C,24
1/19/20 3:43:00 AM,C,24
1/19/20 4:13:00 AM,C,24
1/19/20 4:43:00 AM,C,24
1/19/20 5:13:00 AM,C,24
1/19/20 5:43:00 AM,C,24
1/19/20 6:13:00 AM,C,24
1/19/20 6:43:00 AM,C,24
1/19/20 7:13:00 AM,C,24
1/19/20 7:43:00 AM,C,24
1/19/20 8:13:00 AM,C,25
1/19/20 8:43:00 AM,C,25
1/19/20 9:13:00 AM,C,25.5
1/19/20 9:43:00 AM,C,26.5
1/19/20 10:13:00 AM,C,27
1/19/20 10:43:00 AM,C,27
1/19/20 11:13:00 AM,C,28
1/19/20 11:43:00 AM,C,29
1/19/20 12:13:00 PM,C,29
1/19/20 12:43:00 PM,C,29.5
1/19/20 1:13:00 PM,C,29.5
1/19/20 1:43:00 PM,C,27.5
1/19/20 2:13:00 PM,C,28.5
1/19/20 2:43:00 PM,C,29
1/19/20 3:13:00 PM,C,29
1/19/20 3:43:00 PM,C,29.5
1/19/20 4:13:00 PM,C,29
1/19/20 4:43:00 PM,C,28
1/19/20 5:13:00 PM,C,27
1/19/20 5:43:00 PM,C,26.5
1/19/20 6:13:00 PM,C,26
1/19/20 6:43:00 PM,C,26
1/19/20 7:13:00 PM,C,26
1/19/20 7:43:00 PM,C,25.5
1/19/20 8:13:00 PM,C,25.5
1/19/20 8:43:00 PM,C,25.5
1/19/20 9:13:00 PM,C,25.5
1/19/20 9:43:00 PM,C,25
1/19/20 10:13:00 PM,C,25
1/19/20 10:43:00 PM,C,25
1/19/20 11:13:00 PM,C,25
1/19/20 11:43:00 PM,C,25
1/20/20 12:13:00 AM,C,24
1/20/20 12:43:00 AM,C,24.5
1/20/20 1:13:00 AM,C,24.5
1/20/20 1:43:00 AM,C,23
1/20/20 2:13:00 AM,C,23
1/20/20 2:43:00 AM,C,23
1/20/20 3:13:00 AM,C,23
1/20/20 3:43:00 AM,C,23
1/20/20 4:13:00 AM,C,23
1/20/20 4:43:00 AM,C,22.5
1/20/20 5:13:00 AM,C,22.5
1/20/20 5:43:00 AM,C,23
1/20/20 6:13:00 AM,C,23
1/20/20 6:43:00 AM,C,23
1/20/20 7:13:00 AM,C,23
1/20/20 7:43:00 AM,C,23
1/20/20 8:13:00 AM,C,23.5
1/20/20 8:43:00 AM,C,23.5
1/20/20 9:13:00 AM,C,24.5
1/20/20 9:43:00 AM,C,25
1/20/20 10:13:00 AM,C,25.5
1/20/20 10:43:00 AM,C,26
1/20/20 11:13:00 AM,C,26.5
1/20/20 11:43:00 AM,C,26.5
1/20/20 12:13:00 PM,C,27
1/20/20 12:43:00 PM,C,28
1/20/20 1:13:00 PM,C,28
1/20/20 1:43:00 PM,C,28.5
1/20/20 2:13:00 PM,C,28
1/20/20 2:43:00 PM,C,29
1/20/20 3:13:00 PM,C,28
1/20/20 3:43:00 PM,C,28
1/20/20 4:13:00 PM,C,28.5
1/20/20 4:43:00 PM,C,28
1/20/20 5:13:00 PM,C,27.5
1/20/20 5:43:00 PM,C,26.5
1/20/20 6:13:00 PM,C,26
1/20/20 6:43:00 PM,C,26
1/20/20 7:13:00 PM,C,26
1/20/20 7:43:00 PM,C,25.5
1/20/20 8:13:00 PM,C,25.5
1/20/20 8:43:00 PM,C,25.5
1/20/20 9:13:00 PM,C,25.5
1/20/20 9:43:00 PM,C,25.5
1/20/20 10:13:00 PM,C,25.5
1/20/20 10:43:00 PM,C,25.5
1/20/20 11:13:00 PM,C,24.5
1/20/20 11:43:00 PM,C,24.5
1/21/20 12:13:00 AM,C,24.5
1/21/20 12:43:00 AM,C,24
1/21/20 1:13:00 AM,C,24
1/21/20 1:43:00 AM,C,24
1/21/20 2:13:00 AM,C,24.5
1/21/20 2:43:00 AM,C,24.5
1/21/20 3:13:00 AM,C,24.5
1/21/20 3:43:00 AM,C,24.5
1/21/20 4:13:00 AM,C,24.5
1/21/20 4:43:00 AM,C,24.5
1/21/20 5:13:00 AM,C,24.5
1/21/20 5:43:00 AM,C,24.5
1/21/20 6:13:00 AM,C,24.5
1/21/20 6:43:00 AM,C,24.5
1/21/20 7:13:00 AM,C,24.5
1/21/20 7:43:00 AM,C,25
1/21/20 8:13:00 AM,C,25.5
1/21/20 8:43:00 AM,C,26
1/21/20 9:13:00 AM,C,26.5
1/21/20 9:43:00 AM,C,27
1/21/20 10:13:00 AM,C,27
1/21/20 10:43:00 AM,C,27.5
1/21/20 11:13:00 AM,C,28.5
1/21/20 11:43:00 AM,C,29.5
1/21/20 12:13:00 PM,C,29.5
1/21/20 12:43:00 PM,C,30.5
1/21/20 1:13:00 PM,C,30.5
1/21/20 1:43:00 PM,C,30.5
1/21/20 2:13:00 PM,C,30.5
1/21/20 2:43:00 PM,C,31
1/21/20 3:13:00 PM,C,30.5
1/21/20 3:43:00 PM,C,30
1/21/20 4:13:00 PM,C,30
1/21/20 4:43:00 PM,C,29.5
1/21/20 5:13:00 PM,C,29
1/21/20 5:43:00 PM,C,28
1/21/20 6:13:00 PM,C,27
1/21/20 6:43:00 PM,C,26.5
1/21/20 7:13:00 PM,C,26.5
1/21/20 7:43:00 PM,C,26
1/21/20 8:13:00 PM,C,26
1/21/20 8:43:00 PM,C,26
1/21/20 9:13:00 PM,C,26
1/21/20 9:43:00 PM,C,25.5
1/21/20 10:13:00 PM,C,25.5
1/21/20 10:43:00 PM,C,25.5
1/21/20 11:13:00 PM,C,25.5
1/21/20 11:43:00 PM,C,25.5
1/22/20 12:13:00 AM,C,25
1/22/20 12:43:00 AM,C,25
1/22/20 1:13:00 AM,C,25
1/22/20 1:43:00 AM,C,25
1/22/20 2:13:00 AM,C,25
1/22/20 2:43:00 AM,C,25
1/22/20 3:13:00 AM,C,25
1/22/20 3:43:00 AM,C,25.5
1/22/20 4:13:00 AM,C,25.5
1/22/20 4:43:00 AM,C,25.5
1/22/20 5:13:00 AM,C,25.5
1/22/20 5:43:00 AM,C,25
1/22/20 6:13:00 AM,C,25
1/22/20 6:43:00 AM,C,25
1/22/20 7:13:00 AM,C,25
1/22/20 7:43:00 AM,C,25.5
1/22/20 8:13:00 AM,C,25
1/22/20 8:43:00 AM,C,25
1/22/20 9:13:00 AM,C,26
1/22/20 9:43:00 AM,C,25.5
1/22/20 10:13:00 AM,C,26.5
1/22/20 10:43:00 AM,C,27
1/22/20 11:13:00 AM,C,27.5
1/22/20 11:43:00 AM,C,29
1/22/20 12:13:00 PM,C,29
1/22/20 12:43:00 PM,C,30
1/22/20 1:13:00 PM,C,30
1/22/20 1:43:00 PM,C,30
1/22/20 2:13:00 PM,C,30
1/22/20 2:43:00 PM,C,29.5
1/22/20 3:13:00 PM,C,29.5
1/22/20 3:43:00 PM,C,29.5
1/22/20 4:13:00 PM,C,30
1/22/20 4:43:00 PM,C,29.5
1/22/20 5:13:00 PM,C,29
1/22/20 5:43:00 PM,C,27.5
1/22/20 6:13:00 PM,C,27
1/22/20 6:43:00 PM,C,27
1/22/20 7:13:00 PM,C,26.5
1/22/20 7:43:00 PM,C,26.5
1/22/20 8:13:00 PM,C,26.5
1/22/20 8:43:00 PM,C,25.5
1/22/20 9:13:00 PM,C,25.5
1/22/20 9:43:00 PM,C,24
1/22/20 10:13:00 PM,C,23.5
1/22/20 10:43:00 PM,C,24
1/22/20 11:13:00 PM,C,24
1/22/20 11:43:00 PM,C,24.5
1/23/20 12:13:00 AM,C,24.5
1/23/20 12:43:00 AM,C,24.5
1/23/20 1:13:00 AM,C,25
1/23/20 1:43:00 AM,C,25
1/23/20 2:13:00 AM,C,25
1/23/20 2:43:00 AM,C,25
1/23/20 3:13:00 AM,C,25
1/23/20 3:43:00 AM,C,25
1/23/20 4:13:00 AM,C,25
1/23/20 4:43:00 AM,C,25
1/23/20 5:13:00 AM,C,24.5
1/23/20 5:43:00 AM,C,24.5
1/23/20 6:13:00 AM,C,24
1/23/20 6:43:00 AM,C,24
1/23/20 7:13:00 AM,C,24
1/23/20 7:43:00 AM,C,24
1/23/20 8:13:00 AM,C,24.5
1/23/20 8:43:00 AM,C,25
1/23/20 9:13:00 AM,C,25.5
1/23/20 9:43:00 AM,C,26
1/23/20 10:13:00 AM,C,26.5
1/23/20 10:43:00 AM,C,27.5
1/23/20 11:13:00 AM,C,28
1/23/20 11:43:00 AM,C,28.5
1/23/20 12:13:00 PM,C,28.5
1/23/20 12:43:00 PM,C,28.5
1/23/20 1:13:00 PM,C,27.5
1/23/20 1:43:00 PM,C,28
1/23/20 2:13:00 PM,C,27.5
1/23/20 2:43:00 PM,C,27.5
1/23/20 3:13:00 PM,C,28
1/23/20 3:43:00 PM,C,27
1/23/20 4:13:00 PM,C,23
1/23/20 4:43:00 PM,C,24
1/23/20 5:13:00 PM,C,24
1/23/20 5:43:00 PM,C,23.5
1/23/20 6:13:00 PM,C,23.5
1/23/20 6:43:00 PM,C,23.5
1/23/20 7:13:00 PM,C,23.5
1/23/20 7:43:00 PM,C,23.5
1/23/20 8:13:00 PM,C,23.5
1/23/20 8:43:00 PM,C,23.5
1/23/20 9:13:00 PM,C,23.5
1/23/20 9:43:00 PM,C,23
1/23/20 10:13:00 PM,C,23
1/23/20 10:43:00 PM,C,23
1/23/20 11:13:00 PM,C,23
1/23/20 11:43:00 PM,C,23
1/24/20 12:13:00 AM,C,23
1/24/20 12:43:00 AM,C,23
1/24/20 1:13:00 AM,C,23
1/24/20 1:43:00 AM,C,23
1/24/20 2:13:00 AM,C,23
1/24/20 2:43:00 AM,C,23
1/24/20 3:13:00 AM,C,22.5
1/24/20 3:43:00 AM,C,22.5
1/24/20 4:13:00 AM,C,22.5
1/24/20 4:43:00 AM,C,22.5
1/24/20 5:13:00 AM,C,22.5
1/24/20 5:43:00 AM,C,22.5
1/24/20 6:13:00 AM,C,22.5
1/24/20 6:43:00 AM,C,22.5
1/24/20 7:13:00 AM,C,22.5
1/24/20 7:43:00 AM,C,23
1/24/20 8:13:00 AM,C,23.5
1/24/20 8:43:00 AM,C,24.5
1/24/20 9:13:00 AM,C,25
1/24/20 9:43:00 AM,C,25.5
1/24/20 10:13:00 AM,C,25.5
1/24/20 10:43:00 AM,C,26.5
1/24/20 11:13:00 AM,C,27
1/24/20 11:43:00 AM,C,28.5
1/24/20 12:13:00 PM,C,26.5
1/24/20 12:43:00 PM,C,27
1/24/20 1:13:00 PM,C,27.5
1/24/20 1:43:00 PM,C,28.5
1/24/20 2:13:00 PM,C,27.5
1/24/20 2:43:00 PM,C,28
1/24/20 3:13:00 PM,C,29
1/24/20 3:43:00 PM,C,29
1/24/20 4:13:00 PM,C,29
1/24/20 4:43:00 PM,C,28.5
1/24/20 5:13:00 PM,C,27.5
1/24/20 5:43:00 PM,C,26.5
1/24/20 6:13:00 PM,C,25.5
1/24/20 6:43:00 PM,C,25.5
1/24/20 7:13:00 PM,C,25
1/24/20 7:43:00 PM,C,25
1/24/20 8:13:00 PM,C,25
1/24/20 8:43:00 PM,C,25
1/24/20 9:13:00 PM,C,25
1/24/20 9:43:00 PM,C,25
1/24/20 10:13:00 PM,C,24.5
1/24/20 10:43:00 PM,C,24
1/24/20 11:13:00 PM,C,24
1/24/20 11:43:00 PM,C,23.5
1/25/20 12:13:00 AM,C,23.5
1/25/20 12:43:00 AM,C,23.5
1/25/20 1:13:00 AM,C,23.5
1/25/20 1:43:00 AM,C,23.5
1/25/20 2:13:00 AM,C,23.5
1/25/20 2:43:00 AM,C,23.5
1/25/20 3:13:00 AM,C,23.5
1/25/20 3:43:00 AM,C,23.5
1/25/20 4:13:00 AM,C,23
1/25/20 4:43:00 AM,C,23
1/25/20 5:13:00 AM,C,23
1/25/20 5:43:00 AM,C,23
1/25/20 6:13:00 AM,C,23
1/25/20 6:43:00 AM,C,23
1/25/20 7:13:00 AM,C,23
1/25/20 7:43:00 AM,C,23
1/25/20 8:13:00 AM,C,23.5
1/25/20 8:43:00 AM,C,24
1/25/20 9:13:00 AM,C,24.5
1/25/20 9:43:00 AM,C,25.5
1/25/20 10:13:00 AM,C,26.5
1/25/20 10:43:00 AM,C,27
1/25/20 11:13:00 AM,C,28
1/25/20 11:43:00 AM,C,28.5
1/25/20 12:13:00 PM,C,29
1/25/20 12:43:00 PM,C,29
1/25/20 1:13:00 PM,C,29.5
1/25/20 1:43:00 PM,C,29.5
1/25/20 2:13:00 PM,C,30
1/25/20 2:43:00 PM,C,30.5
1/25/20 3:13:00 PM,C,31
1/25/20 3:43:00 PM,C,31
1/25/20 4:13:00 PM,C,31
1/25/20 4:43:00 PM,C,30
1/25/20 5:13:00 PM,C,30
1/25/20 5:43:00 PM,C,28.5
1/25/20 6:13:00 PM,C,27.5
1/25/20 6:43:00 PM,C,27
1/25/20 7:13:00 PM,C,27
1/25/20 7:43:00 PM,C,26.5
1/25/20 8:13:00 PM,C,26.5
1/25/20 8:43:00 PM,C,25
1/25/20 9:13:00 PM,C,24
1/25/20 9:43:00 PM,C,23
1/25/20 10:13:00 PM,C,23.5
1/25/20 10:43:00 PM,C,23
1/25/20 11:13:00 PM,C,23
1/25/20 11:43:00 PM,C,23
1/26/20 12:13:00 AM,C,22.5
1/26/20 12:43:00 AM,C,22.5
1/26/20 1:13:00 AM,C,22.5
1/26/20 1:43:00 AM,C,22.5
1/26/20 2:13:00 AM,C,22.5
1/26/20 2:43:00 AM,C,22.5
1/26/20 3:13:00 AM,C,22.5
1/26/20 3:43:00 AM,C,23
1/26/20 4:13:00 AM,C,22.5
1/26/20 4:43:00 AM,C,22.5
1/26/20 5:13:00 AM,C,22.5
1/26/20 5:43:00 AM,C,22.5
1/26/20 6:13:00 AM,C,23
1/26/20 6:43:00 AM,C,22.5
1/26/20 7:13:00 AM,C,22.5
1/26/20 7:43:00 AM,C,22.5
1/26/20 8:13:00 AM,C,22.5
1/26/20 8:43:00 AM,C,23
1/26/20 9:13:00 AM,C,24
1/26/20 9:43:00 AM,C,25
1/26/20 10:13:00 AM,C,26
1/26/20 10:43:00 AM,C,26.5
1/26/20 11:13:00 AM,C,27.5
1/26/20 11:43:00 AM,C,28
1/26/20 12:13:00 PM,C,29
1/26/20 12:43:00 PM,C,29.5
1/26/20 1:13:00 PM,C,29.5
1/26/20 1:43:00 PM,C,30
1/26/20 2:13:00 PM,C,30
1/26/20 2:43:00 PM,C,30.5
1/26/20 3:13:00 PM,C,30.5
1/26/20 3:43:00 PM,C,31
1/26/20 4:13:00 PM,C,31
1/26/20 4:43:00 PM,C,30
1/26/20 5:13:00 PM,C,28
1/26/20 5:43:00 PM,C,27
1/26/20 6:13:00 PM,C,26.5
1/26/20 6:43:00 PM,C,26.5
1/26/20 7:13:00 PM,C,26
1/26/20 7:43:00 PM,C,25.5
1/26/20 8:13:00 PM,C,25
1/26/20 8:43:00 PM,C,24.5
1/26/20 9:13:00 PM,C,23.5
1/26/20 9:43:00 PM,C,24
1/26/20 10:13:00 PM,C,23.5
1/26/20 10:43:00 PM,C,23.5
1/26/20 11:13:00 PM,C,23.5
1/26/20 11:43:00 PM,C,23.5
1/27/20 12:13:00 AM,C,23.5
1/27/20 12:43:00 AM,C,23
1/27/20 1:13:00 AM,C,23
1/27/20 1:43:00 AM,C,23
1/27/20 2:13:00 AM,C,23
1/27/20 2:43:00 AM,C,23
1/27/20 3:13:00 AM,C,23
1/27/20 3:43:00 AM,C,23
1/27/20 4:13:00 AM,C,23
1/27/20 4:43:00 AM,C,23
1/27/20 5:13:00 AM,C,23
