1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 730000005515FF21
Is Mission Active?  true
Mission Start:  Mon Feb 07 09:34:00 BOT 2022
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1484
Total Samples:  1484
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2/7/22 9:34:00 AM,C,29
2/7/22 10:04:00 AM,C,25
2/7/22 10:34:00 AM,C,25
2/7/22 11:04:00 AM,C,30.5
2/7/22 11:34:00 AM,C,36
2/7/22 12:04:00 PM,C,30
2/7/22 12:34:00 PM,C,31.5
2/7/22 1:04:00 PM,C,32
2/7/22 1:34:00 PM,C,29
2/7/22 2:04:00 PM,C,29.5
2/7/22 2:34:00 PM,C,31.5
2/7/22 3:04:00 PM,C,30.5
2/7/22 3:34:00 PM,C,29
2/7/22 4:04:00 PM,C,28
2/7/22 4:34:00 PM,C,28.5
2/7/22 5:04:00 PM,C,26.5
2/7/22 5:34:00 PM,C,25.5
2/7/22 6:04:00 PM,C,24.5
2/7/22 6:34:00 PM,C,24
2/7/22 7:04:00 PM,C,24
2/7/22 7:34:00 PM,C,23.5
2/7/22 8:04:00 PM,C,22.5
2/7/22 8:34:00 PM,C,22
2/7/22 9:04:00 PM,C,21.5
2/7/22 9:34:00 PM,C,22
2/7/22 10:04:00 PM,C,21.5
2/7/22 10:34:00 PM,C,21.5
2/7/22 11:04:00 PM,C,21
2/7/22 11:34:00 PM,C,21
2/8/22 12:04:00 AM,C,21
2/8/22 12:34:00 AM,C,21
2/8/22 1:04:00 AM,C,21
2/8/22 1:34:00 AM,C,21
2/8/22 2:04:00 AM,C,21
2/8/22 2:34:00 AM,C,21.5
2/8/22 3:04:00 AM,C,22
2/8/22 3:34:00 AM,C,21.5
2/8/22 4:04:00 AM,C,21.5
2/8/22 4:34:00 AM,C,21.5
2/8/22 5:04:00 AM,C,22
2/8/22 5:34:00 AM,C,22
2/8/22 6:04:00 AM,C,21
2/8/22 6:34:00 AM,C,21
2/8/22 7:04:00 AM,C,21.5
2/8/22 7:34:00 AM,C,22.5
2/8/22 8:04:00 AM,C,26
2/8/22 8:34:00 AM,C,26.5
2/8/22 9:04:00 AM,C,31
2/8/22 9:34:00 AM,C,30
2/8/22 10:04:00 AM,C,27.5
2/8/22 10:34:00 AM,C,32
2/8/22 11:04:00 AM,C,36.5
2/8/22 11:34:00 AM,C,40.5
2/8/22 12:04:00 PM,C,38.5
2/8/22 12:34:00 PM,C,40
2/8/22 1:04:00 PM,C,37.5
2/8/22 1:34:00 PM,C,39.5
2/8/22 2:04:00 PM,C,40
2/8/22 2:34:00 PM,C,38
2/8/22 3:04:00 PM,C,36
2/8/22 3:34:00 PM,C,35.5
2/8/22 4:04:00 PM,C,38.5
2/8/22 4:34:00 PM,C,31
2/8/22 5:04:00 PM,C,29
2/8/22 5:34:00 PM,C,27
2/8/22 6:04:00 PM,C,26
2/8/22 6:34:00 PM,C,25
2/8/22 7:04:00 PM,C,25
2/8/22 7:34:00 PM,C,25
2/8/22 8:04:00 PM,C,24
2/8/22 8:34:00 PM,C,23.5
2/8/22 9:04:00 PM,C,22.5
2/8/22 9:34:00 PM,C,22.5
2/8/22 10:04:00 PM,C,22.5
2/8/22 10:34:00 PM,C,22.5
2/8/22 11:04:00 PM,C,22.5
2/8/22 11:34:00 PM,C,22.5
2/9/22 12:04:00 AM,C,22.5
2/9/22 12:34:00 AM,C,22.5
2/9/22 1:04:00 AM,C,22.5
2/9/22 1:34:00 AM,C,22
2/9/22 2:04:00 AM,C,21.5
2/9/22 2:34:00 AM,C,21.5
2/9/22 3:04:00 AM,C,21
2/9/22 3:34:00 AM,C,21
2/9/22 4:04:00 AM,C,21
2/9/22 4:34:00 AM,C,21
2/9/22 5:04:00 AM,C,20.5
2/9/22 5:34:00 AM,C,21.5
2/9/22 6:04:00 AM,C,21
2/9/22 6:34:00 AM,C,21
2/9/22 7:04:00 AM,C,21
2/9/22 7:34:00 AM,C,21.5
2/9/22 8:04:00 AM,C,23
2/9/22 8:34:00 AM,C,26.5
2/9/22 9:04:00 AM,C,28.5
2/9/22 9:34:00 AM,C,35.5
2/9/22 10:04:00 AM,C,38
2/9/22 10:34:00 AM,C,40
2/9/22 11:04:00 AM,C,42
2/9/22 11:34:00 AM,C,43
2/9/22 12:04:00 PM,C,44
2/9/22 12:34:00 PM,C,45
2/9/22 1:04:00 PM,C,46.5
2/9/22 1:34:00 PM,C,45
2/9/22 2:04:00 PM,C,42.5
2/9/22 2:34:00 PM,C,42
2/9/22 3:04:00 PM,C,41
2/9/22 3:34:00 PM,C,38
2/9/22 4:04:00 PM,C,35
2/9/22 4:34:00 PM,C,30
2/9/22 5:04:00 PM,C,28.5
2/9/22 5:34:00 PM,C,27.5
2/9/22 6:04:00 PM,C,27
2/9/22 6:34:00 PM,C,25.5
2/9/22 7:04:00 PM,C,25.5
2/9/22 7:34:00 PM,C,25.5
2/9/22 8:04:00 PM,C,25
2/9/22 8:34:00 PM,C,24.5
2/9/22 9:04:00 PM,C,24.5
2/9/22 9:34:00 PM,C,23.5
2/9/22 10:04:00 PM,C,22.5
2/9/22 10:34:00 PM,C,22.5
2/9/22 11:04:00 PM,C,22
2/9/22 11:34:00 PM,C,21.5
2/10/22 12:04:00 AM,C,21.5
2/10/22 12:34:00 AM,C,21.5
2/10/22 1:04:00 AM,C,21.5
2/10/22 1:34:00 AM,C,21.5
2/10/22 2:04:00 AM,C,22
2/10/22 2:34:00 AM,C,22.5
2/10/22 3:04:00 AM,C,22.5
2/10/22 3:34:00 AM,C,22
2/10/22 4:04:00 AM,C,22.5
2/10/22 4:34:00 AM,C,22
2/10/22 5:04:00 AM,C,22
2/10/22 5:34:00 AM,C,22
2/10/22 6:04:00 AM,C,22
2/10/22 6:34:00 AM,C,21.5
2/10/22 7:04:00 AM,C,21.5
2/10/22 7:34:00 AM,C,22
2/10/22 8:04:00 AM,C,23
2/10/22 8:34:00 AM,C,30
2/10/22 9:04:00 AM,C,34.5
2/10/22 9:34:00 AM,C,29.5
2/10/22 10:04:00 AM,C,28
2/10/22 10:34:00 AM,C,29
2/10/22 11:04:00 AM,C,29.5
2/10/22 11:34:00 AM,C,41
2/10/22 12:04:00 PM,C,44
2/10/22 12:34:00 PM,C,43.5
2/10/22 1:04:00 PM,C,44.5
2/10/22 1:34:00 PM,C,43.5
2/10/22 2:04:00 PM,C,43
2/10/22 2:34:00 PM,C,41
2/10/22 3:04:00 PM,C,39
2/10/22 3:34:00 PM,C,33.5
2/10/22 4:04:00 PM,C,32.5
2/10/22 4:34:00 PM,C,30
2/10/22 5:04:00 PM,C,28.5
2/10/22 5:34:00 PM,C,27.5
2/10/22 6:04:00 PM,C,26
2/10/22 6:34:00 PM,C,26
2/10/22 7:04:00 PM,C,25
2/10/22 7:34:00 PM,C,25
2/10/22 8:04:00 PM,C,24.5
2/10/22 8:34:00 PM,C,23.5
2/10/22 9:04:00 PM,C,23.5
2/10/22 9:34:00 PM,C,23.5
2/10/22 10:04:00 PM,C,23.5
2/10/22 10:34:00 PM,C,23.5
2/10/22 11:04:00 PM,C,23.5
2/10/22 11:34:00 PM,C,23.5
2/11/22 12:04:00 AM,C,24
2/11/22 12:34:00 AM,C,23.5
2/11/22 1:04:00 AM,C,23
2/11/22 1:34:00 AM,C,23
2/11/22 2:04:00 AM,C,22.5
2/11/22 2:34:00 AM,C,22.5
2/11/22 3:04:00 AM,C,23
2/11/22 3:34:00 AM,C,23
2/11/22 4:04:00 AM,C,23
2/11/22 4:34:00 AM,C,23.5
2/11/22 5:04:00 AM,C,22.5
2/11/22 5:34:00 AM,C,22.5
2/11/22 6:04:00 AM,C,22.5
2/11/22 6:34:00 AM,C,23
2/11/22 7:04:00 AM,C,23.5
2/11/22 7:34:00 AM,C,24
2/11/22 8:04:00 AM,C,25.5
2/11/22 8:34:00 AM,C,28.5
2/11/22 9:04:00 AM,C,26.5
2/11/22 9:34:00 AM,C,33.5
2/11/22 10:04:00 AM,C,35
2/11/22 10:34:00 AM,C,36.5
2/11/22 11:04:00 AM,C,37.5
2/11/22 11:34:00 AM,C,38.5
2/11/22 12:04:00 PM,C,39
2/11/22 12:34:00 PM,C,39.5
2/11/22 1:04:00 PM,C,39
2/11/22 1:34:00 PM,C,39.5
2/11/22 2:04:00 PM,C,38.5
2/11/22 2:34:00 PM,C,37.5
2/11/22 3:04:00 PM,C,36.5
2/11/22 3:34:00 PM,C,34.5
2/11/22 4:04:00 PM,C,33.5
2/11/22 4:34:00 PM,C,31
2/11/22 5:04:00 PM,C,28
2/11/22 5:34:00 PM,C,26.5
2/11/22 6:04:00 PM,C,25.5
2/11/22 6:34:00 PM,C,25
2/11/22 7:04:00 PM,C,24.5
2/11/22 7:34:00 PM,C,24.5
2/11/22 8:04:00 PM,C,24.5
2/11/22 8:34:00 PM,C,24.5
2/11/22 9:04:00 PM,C,24.5
2/11/22 9:34:00 PM,C,24
2/11/22 10:04:00 PM,C,24
2/11/22 10:34:00 PM,C,23.5
2/11/22 11:04:00 PM,C,23
2/11/22 11:34:00 PM,C,23.5
2/12/22 12:04:00 AM,C,23.5
2/12/22 12:34:00 AM,C,23.5
2/12/22 1:04:00 AM,C,23
2/12/22 1:34:00 AM,C,23.5
2/12/22 2:04:00 AM,C,23.5
2/12/22 2:34:00 AM,C,22.5
2/12/22 3:04:00 AM,C,22
2/12/22 3:34:00 AM,C,22
2/12/22 4:04:00 AM,C,22
2/12/22 4:34:00 AM,C,22
2/12/22 5:04:00 AM,C,21.5
2/12/22 5:34:00 AM,C,21.5
2/12/22 6:04:00 AM,C,21.5
2/12/22 6:34:00 AM,C,21.5
2/12/22 7:04:00 AM,C,21
2/12/22 7:34:00 AM,C,21
2/12/22 8:04:00 AM,C,22
2/12/22 8:34:00 AM,C,22.5
2/12/22 9:04:00 AM,C,23.5
2/12/22 9:34:00 AM,C,26.5
2/12/22 10:04:00 AM,C,36
2/12/22 10:34:00 AM,C,38.5
2/12/22 11:04:00 AM,C,41.5
2/12/22 11:34:00 AM,C,43.5
2/12/22 12:04:00 PM,C,42.5
2/12/22 12:34:00 PM,C,40
2/12/22 1:04:00 PM,C,30.5
2/12/22 1:34:00 PM,C,31.5
2/12/22 2:04:00 PM,C,37.5
2/12/22 2:34:00 PM,C,24.5
2/12/22 3:04:00 PM,C,32
2/12/22 3:34:00 PM,C,27.5
2/12/22 4:04:00 PM,C,25.5
2/12/22 4:34:00 PM,C,24.5
2/12/22 5:04:00 PM,C,24.5
2/12/22 5:34:00 PM,C,24
2/12/22 6:04:00 PM,C,23
2/12/22 6:34:00 PM,C,22.5
2/12/22 7:04:00 PM,C,22.5
2/12/22 7:34:00 PM,C,22.5
2/12/22 8:04:00 PM,C,22.5
2/12/22 8:34:00 PM,C,22.5
2/12/22 9:04:00 PM,C,22.5
2/12/22 9:34:00 PM,C,22.5
2/12/22 10:04:00 PM,C,22
2/12/22 10:34:00 PM,C,22
2/12/22 11:04:00 PM,C,22
2/12/22 11:34:00 PM,C,22.5
2/13/22 12:04:00 AM,C,22.5
2/13/22 12:34:00 AM,C,22.5
2/13/22 1:04:00 AM,C,23
2/13/22 1:34:00 AM,C,22
2/13/22 2:04:00 AM,C,22
2/13/22 2:34:00 AM,C,22.5
2/13/22 3:04:00 AM,C,22
2/13/22 3:34:00 AM,C,22
2/13/22 4:04:00 AM,C,22.5
2/13/22 4:34:00 AM,C,22
2/13/22 5:04:00 AM,C,21.5
2/13/22 5:34:00 AM,C,21
2/13/22 6:04:00 AM,C,21.5
2/13/22 6:34:00 AM,C,22
2/13/22 7:04:00 AM,C,22
2/13/22 7:34:00 AM,C,22.5
2/13/22 8:04:00 AM,C,24
2/13/22 8:34:00 AM,C,23
2/13/22 9:04:00 AM,C,23
2/13/22 9:34:00 AM,C,31.5
2/13/22 10:04:00 AM,C,38.5
2/13/22 10:34:00 AM,C,34
2/13/22 11:04:00 AM,C,38
2/13/22 11:34:00 AM,C,37.5
2/13/22 12:04:00 PM,C,42
2/13/22 12:34:00 PM,C,36
2/13/22 1:04:00 PM,C,31
2/13/22 1:34:00 PM,C,28
2/13/22 2:04:00 PM,C,30.5
2/13/22 2:34:00 PM,C,29.5
2/13/22 3:04:00 PM,C,29
2/13/22 3:34:00 PM,C,28
2/13/22 4:04:00 PM,C,30.5
2/13/22 4:34:00 PM,C,30
2/13/22 5:04:00 PM,C,28.5
2/13/22 5:34:00 PM,C,27
2/13/22 6:04:00 PM,C,25.5
2/13/22 6:34:00 PM,C,24.5
2/13/22 7:04:00 PM,C,24
2/13/22 7:34:00 PM,C,23.5
2/13/22 8:04:00 PM,C,23.5
2/13/22 8:34:00 PM,C,23.5
2/13/22 9:04:00 PM,C,23
2/13/22 9:34:00 PM,C,22.5
2/13/22 10:04:00 PM,C,22.5
2/13/22 10:34:00 PM,C,23
2/13/22 11:04:00 PM,C,23.5
2/13/22 11:34:00 PM,C,23.5
2/14/22 12:04:00 AM,C,23.5
2/14/22 12:34:00 AM,C,23.5
2/14/22 1:04:00 AM,C,23
2/14/22 1:34:00 AM,C,23
2/14/22 2:04:00 AM,C,23
2/14/22 2:34:00 AM,C,23
2/14/22 3:04:00 AM,C,23
2/14/22 3:34:00 AM,C,23
2/14/22 4:04:00 AM,C,23
2/14/22 4:34:00 AM,C,22.5
2/14/22 5:04:00 AM,C,22.5
2/14/22 5:34:00 AM,C,22.5
2/14/22 6:04:00 AM,C,22.5
2/14/22 6:34:00 AM,C,22
2/14/22 7:04:00 AM,C,22.5
2/14/22 7:34:00 AM,C,22.5
2/14/22 8:04:00 AM,C,23.5
2/14/22 8:34:00 AM,C,25
2/14/22 9:04:00 AM,C,27.5
2/14/22 9:34:00 AM,C,29.5
2/14/22 10:04:00 AM,C,38
2/14/22 10:34:00 AM,C,41
2/14/22 11:04:00 AM,C,42.5
2/14/22 11:34:00 AM,C,45.5
2/14/22 12:04:00 PM,C,45
2/14/22 12:34:00 PM,C,45.5
2/14/22 1:04:00 PM,C,45.5
2/14/22 1:34:00 PM,C,44
2/14/22 2:04:00 PM,C,44
2/14/22 2:34:00 PM,C,42.5
2/14/22 3:04:00 PM,C,38.5
2/14/22 3:34:00 PM,C,37
2/14/22 4:04:00 PM,C,35.5
2/14/22 4:34:00 PM,C,33
2/14/22 5:04:00 PM,C,29.5
2/14/22 5:34:00 PM,C,27.5
2/14/22 6:04:00 PM,C,26
2/14/22 6:34:00 PM,C,24.5
2/14/22 7:04:00 PM,C,23.5
2/14/22 7:34:00 PM,C,23
2/14/22 8:04:00 PM,C,23
2/14/22 8:34:00 PM,C,23
2/14/22 9:04:00 PM,C,23
2/14/22 9:34:00 PM,C,23
2/14/22 10:04:00 PM,C,23
2/14/22 10:34:00 PM,C,23
2/14/22 11:04:00 PM,C,23
2/14/22 11:34:00 PM,C,23
2/15/22 12:04:00 AM,C,22.5
2/15/22 12:34:00 AM,C,22.5
2/15/22 1:04:00 AM,C,22
2/15/22 1:34:00 AM,C,21.5
2/15/22 2:04:00 AM,C,22
2/15/22 2:34:00 AM,C,22
2/15/22 3:04:00 AM,C,22
2/15/22 3:34:00 AM,C,22
2/15/22 4:04:00 AM,C,21.5
2/15/22 4:34:00 AM,C,21
2/15/22 5:04:00 AM,C,20.5
2/15/22 5:34:00 AM,C,20.5
2/15/22 6:04:00 AM,C,20
2/15/22 6:34:00 AM,C,20.5
2/15/22 7:04:00 AM,C,20.5
2/15/22 7:34:00 AM,C,21.5
2/15/22 8:04:00 AM,C,24.5
2/15/22 8:34:00 AM,C,30.5
2/15/22 9:04:00 AM,C,35.5
2/15/22 9:34:00 AM,C,37.5
2/15/22 10:04:00 AM,C,38.5
2/15/22 10:34:00 AM,C,41
2/15/22 11:04:00 AM,C,43
