1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 4E00000041935F21
Is Mission Active?  true
Mission Start:  Mon Nov 04 13:13:00 BOT 2019
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  807
Total Samples:  11090
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
11/4/19 1:13:00 PM,C,42.5
11/4/19 1:43:00 PM,C,54
11/4/19 2:13:00 PM,C,59.5
11/4/19 2:43:00 PM,C,57.5
11/4/19 3:13:00 PM,C,54
11/4/19 3:43:00 PM,C,49.5
11/4/19 4:13:00 PM,C,45.5
11/4/19 4:43:00 PM,C,40
11/4/19 5:13:00 PM,C,34.5
11/4/19 5:43:00 PM,C,31.5
11/4/19 6:13:00 PM,C,29.5
11/4/19 6:43:00 PM,C,28.5
11/4/19 7:13:00 PM,C,28
11/4/19 7:43:00 PM,C,28
11/4/19 8:13:00 PM,C,27.5
11/4/19 8:43:00 PM,C,27
11/4/19 9:13:00 PM,C,26.5
11/4/19 9:43:00 PM,C,27
11/4/19 10:13:00 PM,C,27
11/4/19 10:43:00 PM,C,27
11/4/19 11:13:00 PM,C,27
11/4/19 11:43:00 PM,C,27
11/5/19 12:13:00 AM,C,26.5
11/5/19 12:43:00 AM,C,26
11/5/19 1:13:00 AM,C,26.5
11/5/19 1:43:00 AM,C,26.5
11/5/19 2:13:00 AM,C,26
11/5/19 2:43:00 AM,C,26
11/5/19 3:13:00 AM,C,26.5
11/5/19 3:43:00 AM,C,26
11/5/19 4:13:00 AM,C,26
11/5/19 4:43:00 AM,C,26
11/5/19 5:13:00 AM,C,25.5
11/5/19 5:43:00 AM,C,25
11/5/19 6:13:00 AM,C,25
11/5/19 6:43:00 AM,C,25.5
11/5/19 7:13:00 AM,C,26
11/5/19 7:43:00 AM,C,26
11/5/19 8:13:00 AM,C,31
11/5/19 8:43:00 AM,C,30.5
11/5/19 9:13:00 AM,C,39
11/5/19 9:43:00 AM,C,40.5
11/5/19 10:13:00 AM,C,44
11/5/19 10:43:00 AM,C,45.5
11/5/19 11:13:00 AM,C,43
11/5/19 11:43:00 AM,C,40
11/5/19 12:13:00 PM,C,41.5
11/5/19 12:43:00 PM,C,51.5
11/5/19 1:13:00 PM,C,49.5
11/5/19 1:43:00 PM,C,40
11/5/19 2:13:00 PM,C,50
11/5/19 2:43:00 PM,C,42
11/5/19 3:13:00 PM,C,46
11/5/19 3:43:00 PM,C,41
11/5/19 4:13:00 PM,C,39.5
11/5/19 4:43:00 PM,C,33.5
11/5/19 5:13:00 PM,C,32.5
11/5/19 5:43:00 PM,C,29.5
11/5/19 6:13:00 PM,C,29
11/5/19 6:43:00 PM,C,28.5
11/5/19 7:13:00 PM,C,28
11/5/19 7:43:00 PM,C,28
11/5/19 8:13:00 PM,C,28
11/5/19 8:43:00 PM,C,28
11/5/19 9:13:00 PM,C,27
11/5/19 9:43:00 PM,C,26.5
11/5/19 10:13:00 PM,C,27
11/5/19 10:43:00 PM,C,27
11/5/19 11:13:00 PM,C,27
11/5/19 11:43:00 PM,C,27
11/6/19 12:13:00 AM,C,25
11/6/19 12:43:00 AM,C,25
11/6/19 1:13:00 AM,C,25.5
11/6/19 1:43:00 AM,C,25.5
11/6/19 2:13:00 AM,C,25
11/6/19 2:43:00 AM,C,25
11/6/19 3:13:00 AM,C,25
11/6/19 3:43:00 AM,C,25
11/6/19 4:13:00 AM,C,25.5
11/6/19 4:43:00 AM,C,26
11/6/19 5:13:00 AM,C,25.5
11/6/19 5:43:00 AM,C,25.5
11/6/19 6:13:00 AM,C,25
11/6/19 6:43:00 AM,C,24.5
11/6/19 7:13:00 AM,C,26
11/6/19 7:43:00 AM,C,28
11/6/19 8:13:00 AM,C,29.5
11/6/19 8:43:00 AM,C,33.5
11/6/19 9:13:00 AM,C,38.5
11/6/19 9:43:00 AM,C,42
11/6/19 10:13:00 AM,C,45.5
11/6/19 10:43:00 AM,C,48.5
11/6/19 11:13:00 AM,C,50.5
11/6/19 11:43:00 AM,C,52.5
11/6/19 12:13:00 PM,C,51.5
11/6/19 12:43:00 PM,C,54.5
11/6/19 1:13:00 PM,C,54
11/6/19 1:43:00 PM,C,50
11/6/19 2:13:00 PM,C,52.5
11/6/19 2:43:00 PM,C,44.5
11/6/19 3:13:00 PM,C,46
11/6/19 3:43:00 PM,C,35
11/6/19 4:13:00 PM,C,36
11/6/19 4:43:00 PM,C,35
11/6/19 5:13:00 PM,C,31.5
11/6/19 5:43:00 PM,C,30
11/6/19 6:13:00 PM,C,29
11/6/19 6:43:00 PM,C,28.5
11/6/19 7:13:00 PM,C,28.5
11/6/19 7:43:00 PM,C,28.5
11/6/19 8:13:00 PM,C,28.5
11/6/19 8:43:00 PM,C,28
11/6/19 9:13:00 PM,C,27.5
11/6/19 9:43:00 PM,C,26.5
11/6/19 10:13:00 PM,C,26
11/6/19 10:43:00 PM,C,25.5
11/6/19 11:13:00 PM,C,26
11/6/19 11:43:00 PM,C,26
11/7/19 12:13:00 AM,C,26
11/7/19 12:43:00 AM,C,25.5
11/7/19 1:13:00 AM,C,25.5
11/7/19 1:43:00 AM,C,25.5
11/7/19 2:13:00 AM,C,25.5
11/7/19 2:43:00 AM,C,25
11/7/19 3:13:00 AM,C,25.5
11/7/19 3:43:00 AM,C,26
11/7/19 4:13:00 AM,C,26
11/7/19 4:43:00 AM,C,26
11/7/19 5:13:00 AM,C,25.5
11/7/19 5:43:00 AM,C,25
11/7/19 6:13:00 AM,C,25
11/7/19 6:43:00 AM,C,26
11/7/19 7:13:00 AM,C,27
11/7/19 7:43:00 AM,C,29
11/7/19 8:13:00 AM,C,32.5
11/7/19 8:43:00 AM,C,36.5
11/7/19 9:13:00 AM,C,39.5
11/7/19 9:43:00 AM,C,41.5
11/7/19 10:13:00 AM,C,45.5
11/7/19 10:43:00 AM,C,49
11/7/19 11:13:00 AM,C,52.5
11/7/19 11:43:00 AM,C,54
11/7/19 12:13:00 PM,C,55.5
11/7/19 12:43:00 PM,C,56
11/7/19 1:13:00 PM,C,56.5
11/7/19 1:43:00 PM,C,54
11/7/19 2:13:00 PM,C,54.5
11/7/19 2:43:00 PM,C,52.5
11/7/19 3:13:00 PM,C,49
11/7/19 3:43:00 PM,C,47.5
11/7/19 4:13:00 PM,C,43.5
11/7/19 4:43:00 PM,C,38
11/7/19 5:13:00 PM,C,34.5
11/7/19 5:43:00 PM,C,31
11/7/19 6:13:00 PM,C,29.5
11/7/19 6:43:00 PM,C,29.5
11/7/19 7:13:00 PM,C,28.5
11/7/19 7:43:00 PM,C,28
11/7/19 8:13:00 PM,C,26.5
11/7/19 8:43:00 PM,C,25.5
11/7/19 9:13:00 PM,C,26.5
11/7/19 9:43:00 PM,C,26.5
11/7/19 10:13:00 PM,C,27
11/7/19 10:43:00 PM,C,27
11/7/19 11:13:00 PM,C,26.5
11/7/19 11:43:00 PM,C,26
11/8/19 12:13:00 AM,C,26.5
11/8/19 12:43:00 AM,C,26.5
