1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 830000004164B121
Is Mission Active?  true
Mission Start:  Thu Mar 12 09:06:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1586
Total Samples:  18043
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
3/12/20 9:06:00 AM,C,29.5
3/12/20 9:36:00 AM,C,28.5
3/12/20 10:06:00 AM,C,28.5
3/12/20 10:36:00 AM,C,28.5
3/12/20 11:06:00 AM,C,29
3/12/20 11:36:00 AM,C,29
3/12/20 12:06:00 PM,C,29.5
3/12/20 12:36:00 PM,C,29.5
3/12/20 1:06:00 PM,C,30.5
3/12/20 1:36:00 PM,C,31
3/12/20 2:06:00 PM,C,31.5
3/12/20 2:36:00 PM,C,32
3/12/20 3:06:00 PM,C,32
3/12/20 3:36:00 PM,C,31
3/12/20 4:06:00 PM,C,38
3/12/20 4:36:00 PM,C,40.5
3/12/20 5:06:00 PM,C,40.5
3/12/20 5:36:00 PM,C,41
3/12/20 6:06:00 PM,C,37.5
3/12/20 6:36:00 PM,C,32.5
3/12/20 7:06:00 PM,C,30.5
3/12/20 7:36:00 PM,C,29.5
3/12/20 8:06:00 PM,C,29
3/12/20 8:36:00 PM,C,28.5
3/12/20 9:06:00 PM,C,27
3/12/20 9:36:00 PM,C,26.5
3/12/20 10:06:00 PM,C,26
3/12/20 10:36:00 PM,C,25.5
3/12/20 11:06:00 PM,C,25.5
3/12/20 11:36:00 PM,C,25.5
3/13/20 12:06:00 AM,C,25
3/13/20 12:36:00 AM,C,25
3/13/20 1:06:00 AM,C,25
3/13/20 1:36:00 AM,C,25
3/13/20 2:06:00 AM,C,24.5
3/13/20 2:36:00 AM,C,24.5
3/13/20 3:06:00 AM,C,24.5
3/13/20 3:36:00 AM,C,24.5
3/13/20 4:06:00 AM,C,24
3/13/20 4:36:00 AM,C,24
3/13/20 5:06:00 AM,C,24
3/13/20 5:36:00 AM,C,23.5
3/13/20 6:06:00 AM,C,23.5
3/13/20 6:36:00 AM,C,23.5
3/13/20 7:06:00 AM,C,24.5
3/13/20 7:36:00 AM,C,24.5
3/13/20 8:06:00 AM,C,26
3/13/20 8:36:00 AM,C,27
3/13/20 9:06:00 AM,C,28.5
3/13/20 9:36:00 AM,C,29.5
3/13/20 10:06:00 AM,C,30
3/13/20 10:36:00 AM,C,29.5
3/13/20 11:06:00 AM,C,30.5
3/13/20 11:36:00 AM,C,30.5
3/13/20 12:06:00 PM,C,30
3/13/20 12:36:00 PM,C,30.5
3/13/20 1:06:00 PM,C,30
3/13/20 1:36:00 PM,C,30.5
3/13/20 2:06:00 PM,C,31
3/13/20 2:36:00 PM,C,31.5
3/13/20 3:06:00 PM,C,30
3/13/20 3:36:00 PM,C,30.5
3/13/20 4:06:00 PM,C,30
3/13/20 4:36:00 PM,C,30.5
3/13/20 5:06:00 PM,C,30
3/13/20 5:36:00 PM,C,29.5
3/13/20 6:06:00 PM,C,26.5
3/13/20 6:36:00 PM,C,25.5
3/13/20 7:06:00 PM,C,23.5
3/13/20 7:36:00 PM,C,23.5
3/13/20 8:06:00 PM,C,24
3/13/20 8:36:00 PM,C,23.5
3/13/20 9:06:00 PM,C,24
3/13/20 9:36:00 PM,C,23.5
3/13/20 10:06:00 PM,C,23.5
3/13/20 10:36:00 PM,C,23.5
3/13/20 11:06:00 PM,C,23.5
3/13/20 11:36:00 PM,C,23
3/14/20 12:06:00 AM,C,23
3/14/20 12:36:00 AM,C,23.5
3/14/20 1:06:00 AM,C,23
3/14/20 1:36:00 AM,C,23
3/14/20 2:06:00 AM,C,23.5
3/14/20 2:36:00 AM,C,23.5
3/14/20 3:06:00 AM,C,23.5
3/14/20 3:36:00 AM,C,23
3/14/20 4:06:00 AM,C,23
3/14/20 4:36:00 AM,C,23
3/14/20 5:06:00 AM,C,22.5
3/14/20 5:36:00 AM,C,22.5
3/14/20 6:06:00 AM,C,22.5
3/14/20 6:36:00 AM,C,22.5
3/14/20 7:06:00 AM,C,23
3/14/20 7:36:00 AM,C,23.5
3/14/20 8:06:00 AM,C,24.5
3/14/20 8:36:00 AM,C,26
3/14/20 9:06:00 AM,C,26.5
3/14/20 9:36:00 AM,C,27.5
3/14/20 10:06:00 AM,C,28
3/14/20 10:36:00 AM,C,28.5
3/14/20 11:06:00 AM,C,29
3/14/20 11:36:00 AM,C,29
3/14/20 12:06:00 PM,C,29
3/14/20 12:36:00 PM,C,29.5
3/14/20 1:06:00 PM,C,29.5
3/14/20 1:36:00 PM,C,29.5
3/14/20 2:06:00 PM,C,28.5
3/14/20 2:36:00 PM,C,29
3/14/20 3:06:00 PM,C,28.5
3/14/20 3:36:00 PM,C,28
3/14/20 4:06:00 PM,C,27.5
3/14/20 4:36:00 PM,C,31
3/14/20 5:06:00 PM,C,30.5
3/14/20 5:36:00 PM,C,30
3/14/20 6:06:00 PM,C,27.5
3/14/20 6:36:00 PM,C,25.5
3/14/20 7:06:00 PM,C,25
3/14/20 7:36:00 PM,C,24.5
3/14/20 8:06:00 PM,C,24.5
3/14/20 8:36:00 PM,C,23
3/14/20 9:06:00 PM,C,24
3/14/20 9:36:00 PM,C,24
3/14/20 10:06:00 PM,C,23.5
3/14/20 10:36:00 PM,C,24
3/14/20 11:06:00 PM,C,24
3/14/20 11:36:00 PM,C,24.5
3/15/20 12:06:00 AM,C,24.5
3/15/20 12:36:00 AM,C,24
3/15/20 1:06:00 AM,C,24
3/15/20 1:36:00 AM,C,24
3/15/20 2:06:00 AM,C,24
3/15/20 2:36:00 AM,C,24
3/15/20 3:06:00 AM,C,24
3/15/20 3:36:00 AM,C,24
3/15/20 4:06:00 AM,C,24
3/15/20 4:36:00 AM,C,23.5
3/15/20 5:06:00 AM,C,23.5
3/15/20 5:36:00 AM,C,23.5
3/15/20 6:06:00 AM,C,23.5
3/15/20 6:36:00 AM,C,23.5
3/15/20 7:06:00 AM,C,23.5
3/15/20 7:36:00 AM,C,24
3/15/20 8:06:00 AM,C,25
3/15/20 8:36:00 AM,C,25.5
3/15/20 9:06:00 AM,C,26
3/15/20 9:36:00 AM,C,26.5
3/15/20 10:06:00 AM,C,27
3/15/20 10:36:00 AM,C,26.5
3/15/20 11:06:00 AM,C,27
3/15/20 11:36:00 AM,C,27.5
3/15/20 12:06:00 PM,C,28
3/15/20 12:36:00 PM,C,27.5
3/15/20 1:06:00 PM,C,27.5
3/15/20 1:36:00 PM,C,27.5
3/15/20 2:06:00 PM,C,27.5
3/15/20 2:36:00 PM,C,28
3/15/20 3:06:00 PM,C,28
3/15/20 3:36:00 PM,C,28
3/15/20 4:06:00 PM,C,30.5
3/15/20 4:36:00 PM,C,30.5
3/15/20 5:06:00 PM,C,31
3/15/20 5:36:00 PM,C,30.5
3/15/20 6:06:00 PM,C,28.5
3/15/20 6:36:00 PM,C,26.5
3/15/20 7:06:00 PM,C,25.5
3/15/20 7:36:00 PM,C,25.5
3/15/20 8:06:00 PM,C,25
3/15/20 8:36:00 PM,C,25
3/15/20 9:06:00 PM,C,24.5
3/15/20 9:36:00 PM,C,24.5
3/15/20 10:06:00 PM,C,24
3/15/20 10:36:00 PM,C,24
3/15/20 11:06:00 PM,C,23.5
3/15/20 11:36:00 PM,C,23.5
3/16/20 12:06:00 AM,C,23.5
3/16/20 12:36:00 AM,C,23.5
3/16/20 1:06:00 AM,C,23
3/16/20 1:36:00 AM,C,23.5
3/16/20 2:06:00 AM,C,23.5
3/16/20 2:36:00 AM,C,23.5
3/16/20 3:06:00 AM,C,23
3/16/20 3:36:00 AM,C,23
3/16/20 4:06:00 AM,C,23
3/16/20 4:36:00 AM,C,23
3/16/20 5:06:00 AM,C,23
3/16/20 5:36:00 AM,C,23
3/16/20 6:06:00 AM,C,23
3/16/20 6:36:00 AM,C,23
3/16/20 7:06:00 AM,C,23
3/16/20 7:36:00 AM,C,24
3/16/20 8:06:00 AM,C,25
3/16/20 8:36:00 AM,C,25.5
3/16/20 9:06:00 AM,C,26.5
3/16/20 9:36:00 AM,C,26.5
3/16/20 10:06:00 AM,C,27.5
3/16/20 10:36:00 AM,C,28
3/16/20 11:06:00 AM,C,27.5
3/16/20 11:36:00 AM,C,28
3/16/20 12:06:00 PM,C,28
3/16/20 12:36:00 PM,C,28.5
3/16/20 1:06:00 PM,C,29
3/16/20 1:36:00 PM,C,29
3/16/20 2:06:00 PM,C,27.5
3/16/20 2:36:00 PM,C,28.5
3/16/20 3:06:00 PM,C,28
3/16/20 3:36:00 PM,C,28.5
3/16/20 4:06:00 PM,C,31.5
3/16/20 4:36:00 PM,C,32
3/16/20 5:06:00 PM,C,31.5
3/16/20 5:36:00 PM,C,31.5
3/16/20 6:06:00 PM,C,28.5
3/16/20 6:36:00 PM,C,26.5
3/16/20 7:06:00 PM,C,26
3/16/20 7:36:00 PM,C,25.5
3/16/20 8:06:00 PM,C,25.5
3/16/20 8:36:00 PM,C,25.5
3/16/20 9:06:00 PM,C,25.5
3/16/20 9:36:00 PM,C,25.5
3/16/20 10:06:00 PM,C,25
3/16/20 10:36:00 PM,C,25
3/16/20 11:06:00 PM,C,24.5
3/16/20 11:36:00 PM,C,24.5
3/17/20 12:06:00 AM,C,24.5
3/17/20 12:36:00 AM,C,24.5
3/17/20 1:06:00 AM,C,24
3/17/20 1:36:00 AM,C,24
3/17/20 2:06:00 AM,C,24
3/17/20 2:36:00 AM,C,24.5
3/17/20 3:06:00 AM,C,24
3/17/20 3:36:00 AM,C,24
3/17/20 4:06:00 AM,C,24.5
3/17/20 4:36:00 AM,C,23
3/17/20 5:06:00 AM,C,24
3/17/20 5:36:00 AM,C,24
3/17/20 6:06:00 AM,C,23.5
3/17/20 6:36:00 AM,C,24
3/17/20 7:06:00 AM,C,24
3/17/20 7:36:00 AM,C,24.5
3/17/20 8:06:00 AM,C,25
3/17/20 8:36:00 AM,C,26
3/17/20 9:06:00 AM,C,26.5
3/17/20 9:36:00 AM,C,27
3/17/20 10:06:00 AM,C,27.5
3/17/20 10:36:00 AM,C,28
3/17/20 11:06:00 AM,C,27.5
3/17/20 11:36:00 AM,C,28.5
3/17/20 12:06:00 PM,C,28.5
3/17/20 12:36:00 PM,C,28.5
3/17/20 1:06:00 PM,C,29
3/17/20 1:36:00 PM,C,29
3/17/20 2:06:00 PM,C,28.5
3/17/20 2:36:00 PM,C,28
3/17/20 3:06:00 PM,C,29
3/17/20 3:36:00 PM,C,29.5
3/17/20 4:06:00 PM,C,28
3/17/20 4:36:00 PM,C,28
3/17/20 5:06:00 PM,C,29.5
3/17/20 5:36:00 PM,C,28
3/17/20 6:06:00 PM,C,28
3/17/20 6:36:00 PM,C,26.5
3/17/20 7:06:00 PM,C,25.5
3/17/20 7:36:00 PM,C,25.5
3/17/20 8:06:00 PM,C,25.5
3/17/20 8:36:00 PM,C,25.5
3/17/20 9:06:00 PM,C,25.5
3/17/20 9:36:00 PM,C,25.5
3/17/20 10:06:00 PM,C,25.5
3/17/20 10:36:00 PM,C,25
3/17/20 11:06:00 PM,C,25
3/17/20 11:36:00 PM,C,25
3/18/20 12:06:00 AM,C,24.5
3/18/20 12:36:00 AM,C,24.5
3/18/20 1:06:00 AM,C,24.5
3/18/20 1:36:00 AM,C,24.5
3/18/20 2:06:00 AM,C,24
3/18/20 2:36:00 AM,C,23.5
3/18/20 3:06:00 AM,C,24
3/18/20 3:36:00 AM,C,24.5
3/18/20 4:06:00 AM,C,24
3/18/20 4:36:00 AM,C,24
3/18/20 5:06:00 AM,C,24
3/18/20 5:36:00 AM,C,24
3/18/20 6:06:00 AM,C,24
3/18/20 6:36:00 AM,C,24
3/18/20 7:06:00 AM,C,24
3/18/20 7:36:00 AM,C,25
3/18/20 8:06:00 AM,C,26
3/18/20 8:36:00 AM,C,26.5
3/18/20 9:06:00 AM,C,28
3/18/20 9:36:00 AM,C,28
3/18/20 10:06:00 AM,C,29
3/18/20 10:36:00 AM,C,29.5
3/18/20 11:06:00 AM,C,29
3/18/20 11:36:00 AM,C,29.5
3/18/20 12:06:00 PM,C,29
3/18/20 12:36:00 PM,C,29.5
3/18/20 1:06:00 PM,C,29
3/18/20 1:36:00 PM,C,29
3/18/20 2:06:00 PM,C,30.5
3/18/20 2:36:00 PM,C,29
3/18/20 3:06:00 PM,C,29.5
3/18/20 3:36:00 PM,C,29
3/18/20 4:06:00 PM,C,31
3/18/20 4:36:00 PM,C,28.5
3/18/20 5:06:00 PM,C,28.5
3/18/20 5:36:00 PM,C,27.5
3/18/20 6:06:00 PM,C,27
3/18/20 6:36:00 PM,C,26.5
3/18/20 7:06:00 PM,C,26
3/18/20 7:36:00 PM,C,26
3/18/20 8:06:00 PM,C,26
3/18/20 8:36:00 PM,C,26
3/18/20 9:06:00 PM,C,26
3/18/20 9:36:00 PM,C,25.5
3/18/20 10:06:00 PM,C,25.5
3/18/20 10:36:00 PM,C,25.5
3/18/20 11:06:00 PM,C,25.5
3/18/20 11:36:00 PM,C,25.5
3/19/20 12:06:00 AM,C,25
3/19/20 12:36:00 AM,C,25
3/19/20 1:06:00 AM,C,25
3/19/20 1:36:00 AM,C,25
3/19/20 2:06:00 AM,C,25
3/19/20 2:36:00 AM,C,25
3/19/20 3:06:00 AM,C,25
3/19/20 3:36:00 AM,C,25
3/19/20 4:06:00 AM,C,25
3/19/20 4:36:00 AM,C,25
3/19/20 5:06:00 AM,C,24
3/19/20 5:36:00 AM,C,24
3/19/20 6:06:00 AM,C,24
3/19/20 6:36:00 AM,C,24
3/19/20 7:06:00 AM,C,24.5
3/19/20 7:36:00 AM,C,25.5
3/19/20 8:06:00 AM,C,26
3/19/20 8:36:00 AM,C,27.5
3/19/20 9:06:00 AM,C,28
3/19/20 9:36:00 AM,C,28.5
3/19/20 10:06:00 AM,C,29
3/19/20 10:36:00 AM,C,29
3/19/20 11:06:00 AM,C,29.5
3/19/20 11:36:00 AM,C,29
3/19/20 12:06:00 PM,C,29.5
3/19/20 12:36:00 PM,C,30
3/19/20 1:06:00 PM,C,30
3/19/20 1:36:00 PM,C,26
3/19/20 2:06:00 PM,C,28.5
3/19/20 2:36:00 PM,C,29
3/19/20 3:06:00 PM,C,28
3/19/20 3:36:00 PM,C,29.5
3/19/20 4:06:00 PM,C,34.5
3/19/20 4:36:00 PM,C,35.5
3/19/20 5:06:00 PM,C,30.5
3/19/20 5:36:00 PM,C,31.5
3/19/20 6:06:00 PM,C,30
3/19/20 6:36:00 PM,C,27
3/19/20 7:06:00 PM,C,26
3/19/20 7:36:00 PM,C,26
3/19/20 8:06:00 PM,C,25.5
3/19/20 8:36:00 PM,C,25.5
3/19/20 9:06:00 PM,C,25.5
3/19/20 9:36:00 PM,C,25.5
3/19/20 10:06:00 PM,C,25.5
3/19/20 10:36:00 PM,C,26
3/19/20 11:06:00 PM,C,25.5
3/19/20 11:36:00 PM,C,25.5
3/20/20 12:06:00 AM,C,25.5
3/20/20 12:36:00 AM,C,25
3/20/20 1:06:00 AM,C,23
3/20/20 1:36:00 AM,C,24
3/20/20 2:06:00 AM,C,23.5
3/20/20 2:36:00 AM,C,22.5
3/20/20 3:06:00 AM,C,23
3/20/20 3:36:00 AM,C,23
3/20/20 4:06:00 AM,C,23
3/20/20 4:36:00 AM,C,22.5
3/20/20 5:06:00 AM,C,22.5
3/20/20 5:36:00 AM,C,23
3/20/20 6:06:00 AM,C,23
3/20/20 6:36:00 AM,C,23.5
3/20/20 7:06:00 AM,C,24
3/20/20 7:36:00 AM,C,25
3/20/20 8:06:00 AM,C,26
3/20/20 8:36:00 AM,C,26.5
3/20/20 9:06:00 AM,C,27
3/20/20 9:36:00 AM,C,27
3/20/20 10:06:00 AM,C,27
3/20/20 10:36:00 AM,C,27
3/20/20 11:06:00 AM,C,27.5
3/20/20 11:36:00 AM,C,28
3/20/20 12:06:00 PM,C,27.5
3/20/20 12:36:00 PM,C,28
3/20/20 1:06:00 PM,C,28
3/20/20 1:36:00 PM,C,28.5
3/20/20 2:06:00 PM,C,28
3/20/20 2:36:00 PM,C,28.5
3/20/20 3:06:00 PM,C,28.5
3/20/20 3:36:00 PM,C,29
3/20/20 4:06:00 PM,C,28
3/20/20 4:36:00 PM,C,30.5
3/20/20 5:06:00 PM,C,30
3/20/20 5:36:00 PM,C,30.5
3/20/20 6:06:00 PM,C,26
3/20/20 6:36:00 PM,C,25.5
3/20/20 7:06:00 PM,C,25.5
3/20/20 7:36:00 PM,C,25.5
3/20/20 8:06:00 PM,C,25
3/20/20 8:36:00 PM,C,24.5
3/20/20 9:06:00 PM,C,23
3/20/20 9:36:00 PM,C,23.5
3/20/20 10:06:00 PM,C,23
3/20/20 10:36:00 PM,C,22.5
3/20/20 11:06:00 PM,C,24
3/20/20 11:36:00 PM,C,24
3/21/20 12:06:00 AM,C,24
3/21/20 12:36:00 AM,C,24.5
3/21/20 1:06:00 AM,C,24.5
3/21/20 1:36:00 AM,C,24
3/21/20 2:06:00 AM,C,24
3/21/20 2:36:00 AM,C,24
3/21/20 3:06:00 AM,C,22
3/21/20 3:36:00 AM,C,23
3/21/20 4:06:00 AM,C,23.5
3/21/20 4:36:00 AM,C,24
3/21/20 5:06:00 AM,C,23.5
3/21/20 5:36:00 AM,C,24
3/21/20 6:06:00 AM,C,24
3/21/20 6:36:00 AM,C,24
3/21/20 7:06:00 AM,C,24.5
3/21/20 7:36:00 AM,C,25
3/21/20 8:06:00 AM,C,25
3/21/20 8:36:00 AM,C,25.5
3/21/20 9:06:00 AM,C,26.5
3/21/20 9:36:00 AM,C,26.5
3/21/20 10:06:00 AM,C,27
3/21/20 10:36:00 AM,C,27
3/21/20 11:06:00 AM,C,27.5
3/21/20 11:36:00 AM,C,27.5
3/21/20 12:06:00 PM,C,28
3/21/20 12:36:00 PM,C,28
3/21/20 1:06:00 PM,C,27.5
3/21/20 1:36:00 PM,C,28
3/21/20 2:06:00 PM,C,28
3/21/20 2:36:00 PM,C,27.5
3/21/20 3:06:00 PM,C,28
3/21/20 3:36:00 PM,C,28
3/21/20 4:06:00 PM,C,28
3/21/20 4:36:00 PM,C,27.5
3/21/20 5:06:00 PM,C,28
3/21/20 5:36:00 PM,C,27
3/21/20 6:06:00 PM,C,26
3/21/20 6:36:00 PM,C,26
3/21/20 7:06:00 PM,C,25.5
3/21/20 7:36:00 PM,C,25.5
3/21/20 8:06:00 PM,C,25.5
3/21/20 8:36:00 PM,C,25.5
3/21/20 9:06:00 PM,C,25.5
3/21/20 9:36:00 PM,C,25.5
3/21/20 10:06:00 PM,C,25
3/21/20 10:36:00 PM,C,25.5
3/21/20 11:06:00 PM,C,25
3/21/20 11:36:00 PM,C,25
3/22/20 12:06:00 AM,C,25
3/22/20 12:36:00 AM,C,25
3/22/20 1:06:00 AM,C,24.5
3/22/20 1:36:00 AM,C,24.5
3/22/20 2:06:00 AM,C,24.5
3/22/20 2:36:00 AM,C,24
3/22/20 3:06:00 AM,C,24.5
3/22/20 3:36:00 AM,C,24.5
3/22/20 4:06:00 AM,C,24
3/22/20 4:36:00 AM,C,24
3/22/20 5:06:00 AM,C,24
3/22/20 5:36:00 AM,C,24
3/22/20 6:06:00 AM,C,24
3/22/20 6:36:00 AM,C,23.5
3/22/20 7:06:00 AM,C,24
3/22/20 7:36:00 AM,C,25
3/22/20 8:06:00 AM,C,25.5
3/22/20 8:36:00 AM,C,25.5
3/22/20 9:06:00 AM,C,26.5
3/22/20 9:36:00 AM,C,24.5
3/22/20 10:06:00 AM,C,25
3/22/20 10:36:00 AM,C,26.5
3/22/20 11:06:00 AM,C,27
3/22/20 11:36:00 AM,C,27
3/22/20 12:06:00 PM,C,28
3/22/20 12:36:00 PM,C,29
3/22/20 1:06:00 PM,C,29.5
3/22/20 1:36:00 PM,C,28.5
3/22/20 2:06:00 PM,C,28.5
3/22/20 2:36:00 PM,C,28.5
3/22/20 3:06:00 PM,C,29
3/22/20 3:36:00 PM,C,28
3/22/20 4:06:00 PM,C,27
3/22/20 4:36:00 PM,C,27
3/22/20 5:06:00 PM,C,27
3/22/20 5:36:00 PM,C,26.5
3/22/20 6:06:00 PM,C,26
3/22/20 6:36:00 PM,C,25.5
3/22/20 7:06:00 PM,C,25.5
3/22/20 7:36:00 PM,C,25.5
3/22/20 8:06:00 PM,C,25.5
3/22/20 8:36:00 PM,C,25.5
3/22/20 9:06:00 PM,C,25.5
3/22/20 9:36:00 PM,C,25.5
3/22/20 10:06:00 PM,C,25.5
3/22/20 10:36:00 PM,C,23
3/22/20 11:06:00 PM,C,23.5
3/22/20 11:36:00 PM,C,23
3/23/20 12:06:00 AM,C,22.5
3/23/20 12:36:00 AM,C,23
3/23/20 1:06:00 AM,C,22.5
3/23/20 1:36:00 AM,C,22.5
3/23/20 2:06:00 AM,C,22.5
3/23/20 2:36:00 AM,C,22.5
3/23/20 3:06:00 AM,C,22.5
3/23/20 3:36:00 AM,C,22.5
3/23/20 4:06:00 AM,C,23
3/23/20 4:36:00 AM,C,23
3/23/20 5:06:00 AM,C,23
3/23/20 5:36:00 AM,C,23
3/23/20 6:06:00 AM,C,23
3/23/20 6:36:00 AM,C,23.5
3/23/20 7:06:00 AM,C,24
3/23/20 7:36:00 AM,C,24
3/23/20 8:06:00 AM,C,24.5
3/23/20 8:36:00 AM,C,24
3/23/20 9:06:00 AM,C,24
3/23/20 9:36:00 AM,C,24.5
3/23/20 10:06:00 AM,C,25.5
3/23/20 10:36:00 AM,C,26
3/23/20 11:06:00 AM,C,26.5
3/23/20 11:36:00 AM,C,27
3/23/20 12:06:00 PM,C,27.5
3/23/20 12:36:00 PM,C,28
3/23/20 1:06:00 PM,C,28
3/23/20 1:36:00 PM,C,28
3/23/20 2:06:00 PM,C,28
3/23/20 2:36:00 PM,C,28
3/23/20 3:06:00 PM,C,27.5
3/23/20 3:36:00 PM,C,27
3/23/20 4:06:00 PM,C,27
3/23/20 4:36:00 PM,C,26.5
3/23/20 5:06:00 PM,C,26.5
3/23/20 5:36:00 PM,C,26
3/23/20 6:06:00 PM,C,25.5
3/23/20 6:36:00 PM,C,25.5
3/23/20 7:06:00 PM,C,25
3/23/20 7:36:00 PM,C,25
3/23/20 8:06:00 PM,C,25
3/23/20 8:36:00 PM,C,25
3/23/20 9:06:00 PM,C,25
3/23/20 9:36:00 PM,C,25
3/23/20 10:06:00 PM,C,25
3/23/20 10:36:00 PM,C,25
3/23/20 11:06:00 PM,C,24.5
3/23/20 11:36:00 PM,C,24.5
3/24/20 12:06:00 AM,C,24.5
3/24/20 12:36:00 AM,C,24.5
3/24/20 1:06:00 AM,C,24.5
3/24/20 1:36:00 AM,C,24.5
3/24/20 2:06:00 AM,C,24
3/24/20 2:36:00 AM,C,24
3/24/20 3:06:00 AM,C,24
3/24/20 3:36:00 AM,C,24
3/24/20 4:06:00 AM,C,24
3/24/20 4:36:00 AM,C,24
3/24/20 5:06:00 AM,C,24
3/24/20 5:36:00 AM,C,24
3/24/20 6:06:00 AM,C,24
3/24/20 6:36:00 AM,C,23.5
3/24/20 7:06:00 AM,C,23.5
3/24/20 7:36:00 AM,C,24.5
3/24/20 8:06:00 AM,C,24.5
3/24/20 8:36:00 AM,C,24.5
3/24/20 9:06:00 AM,C,24.5
3/24/20 9:36:00 AM,C,25.5
3/24/20 10:06:00 AM,C,26
3/24/20 10:36:00 AM,C,26.5
3/24/20 11:06:00 AM,C,27
3/24/20 11:36:00 AM,C,28
3/24/20 12:06:00 PM,C,26.5
3/24/20 12:36:00 PM,C,28
3/24/20 1:06:00 PM,C,28
3/24/20 1:36:00 PM,C,28.5
3/24/20 2:06:00 PM,C,28
3/24/20 2:36:00 PM,C,28.5
3/24/20 3:06:00 PM,C,28.5
3/24/20 3:36:00 PM,C,28
3/24/20 4:06:00 PM,C,28
3/24/20 4:36:00 PM,C,28
3/24/20 5:06:00 PM,C,27
3/24/20 5:36:00 PM,C,25.5
3/24/20 6:06:00 PM,C,25
3/24/20 6:36:00 PM,C,24
3/24/20 7:06:00 PM,C,24
3/24/20 7:36:00 PM,C,24
3/24/20 8:06:00 PM,C,24
3/24/20 8:36:00 PM,C,24
3/24/20 9:06:00 PM,C,24.5
3/24/20 9:36:00 PM,C,25
3/24/20 10:06:00 PM,C,25
3/24/20 10:36:00 PM,C,25
3/24/20 11:06:00 PM,C,25
3/24/20 11:36:00 PM,C,25
3/25/20 12:06:00 AM,C,25.5
3/25/20 12:36:00 AM,C,25
3/25/20 1:06:00 AM,C,25
3/25/20 1:36:00 AM,C,25
3/25/20 2:06:00 AM,C,25
3/25/20 2:36:00 AM,C,25
3/25/20 3:06:00 AM,C,25
3/25/20 3:36:00 AM,C,25
3/25/20 4:06:00 AM,C,25
3/25/20 4:36:00 AM,C,25
3/25/20 5:06:00 AM,C,24.5
3/25/20 5:36:00 AM,C,24.5
3/25/20 6:06:00 AM,C,24.5
3/25/20 6:36:00 AM,C,24.5
3/25/20 7:06:00 AM,C,25
3/25/20 7:36:00 AM,C,25
3/25/20 8:06:00 AM,C,25.5
3/25/20 8:36:00 AM,C,26
3/25/20 9:06:00 AM,C,27
3/25/20 9:36:00 AM,C,27.5
3/25/20 10:06:00 AM,C,28.5
3/25/20 10:36:00 AM,C,28.5
3/25/20 11:06:00 AM,C,29
3/25/20 11:36:00 AM,C,29.5
3/25/20 12:06:00 PM,C,30.5
3/25/20 12:36:00 PM,C,29.5
3/25/20 1:06:00 PM,C,30
3/25/20 1:36:00 PM,C,30.5
3/25/20 2:06:00 PM,C,30
3/25/20 2:36:00 PM,C,30.5
3/25/20 3:06:00 PM,C,30
3/25/20 3:36:00 PM,C,30.5
3/25/20 4:06:00 PM,C,31
3/25/20 4:36:00 PM,C,35
3/25/20 5:06:00 PM,C,35.5
3/25/20 5:36:00 PM,C,34
3/25/20 6:06:00 PM,C,29.5
3/25/20 6:36:00 PM,C,28.5
3/25/20 7:06:00 PM,C,27.5
3/25/20 7:36:00 PM,C,27
3/25/20 8:06:00 PM,C,27
3/25/20 8:36:00 PM,C,26.5
3/25/20 9:06:00 PM,C,26.5
3/25/20 9:36:00 PM,C,26.5
3/25/20 10:06:00 PM,C,26
3/25/20 10:36:00 PM,C,26
3/25/20 11:06:00 PM,C,25.5
3/25/20 11:36:00 PM,C,25.5
3/26/20 12:06:00 AM,C,25.5
3/26/20 12:36:00 AM,C,24.5
3/26/20 1:06:00 AM,C,24.5
3/26/20 1:36:00 AM,C,24.5
3/26/20 2:06:00 AM,C,24
3/26/20 2:36:00 AM,C,23.5
3/26/20 3:06:00 AM,C,23.5
3/26/20 3:36:00 AM,C,23.5
3/26/20 4:06:00 AM,C,23
3/26/20 4:36:00 AM,C,23
3/26/20 5:06:00 AM,C,23
3/26/20 5:36:00 AM,C,22.5
3/26/20 6:06:00 AM,C,22.5
3/26/20 6:36:00 AM,C,22.5
3/26/20 7:06:00 AM,C,23
3/26/20 7:36:00 AM,C,23.5
3/26/20 8:06:00 AM,C,25
3/26/20 8:36:00 AM,C,25.5
3/26/20 9:06:00 AM,C,26.5
3/26/20 9:36:00 AM,C,27.5
3/26/20 10:06:00 AM,C,28
3/26/20 10:36:00 AM,C,28
3/26/20 11:06:00 AM,C,28.5
3/26/20 11:36:00 AM,C,28
3/26/20 12:06:00 PM,C,28.5
3/26/20 12:36:00 PM,C,28
3/26/20 1:06:00 PM,C,28.5
3/26/20 1:36:00 PM,C,28.5
3/26/20 2:06:00 PM,C,29
3/26/20 2:36:00 PM,C,29.5
3/26/20 3:06:00 PM,C,30
3/26/20 3:36:00 PM,C,30
3/26/20 4:06:00 PM,C,39.5
3/26/20 4:36:00 PM,C,40
