1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 4400000041B21221
Is Mission Active?  true
Mission Start:  Thu Mar 12 08:18:00 BOT 2020
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1586
Total Samples:  18053
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
3/12/20 8:18:00 AM,C,31
3/12/20 8:48:00 AM,C,27
3/12/20 9:18:00 AM,C,28
3/12/20 9:48:00 AM,C,28.5
3/12/20 10:18:00 AM,C,29
3/12/20 10:48:00 AM,C,30
3/12/20 11:18:00 AM,C,30.5
3/12/20 11:48:00 AM,C,31.5
3/12/20 12:18:00 PM,C,32.5
3/12/20 12:48:00 PM,C,29
3/12/20 1:18:00 PM,C,31
3/12/20 1:48:00 PM,C,34.5
3/12/20 2:18:00 PM,C,37
3/12/20 2:48:00 PM,C,40
3/12/20 3:18:00 PM,C,42.5
3/12/20 3:48:00 PM,C,34.5
3/12/20 4:18:00 PM,C,33
3/12/20 4:48:00 PM,C,33
3/12/20 5:18:00 PM,C,33
3/12/20 5:48:00 PM,C,35
3/12/20 6:18:00 PM,C,31
3/12/20 6:48:00 PM,C,29
3/12/20 7:18:00 PM,C,28.5
3/12/20 7:48:00 PM,C,28
3/12/20 8:18:00 PM,C,27.5
3/12/20 8:48:00 PM,C,26.5
3/12/20 9:18:00 PM,C,26
3/12/20 9:48:00 PM,C,25.5
3/12/20 10:18:00 PM,C,25.5
3/12/20 10:48:00 PM,C,25.5
3/12/20 11:18:00 PM,C,26
3/12/20 11:48:00 PM,C,25.5
3/13/20 12:18:00 AM,C,25.5
3/13/20 12:48:00 AM,C,25.5
3/13/20 1:18:00 AM,C,25
3/13/20 1:48:00 AM,C,25
3/13/20 2:18:00 AM,C,24.5
3/13/20 2:48:00 AM,C,25
3/13/20 3:18:00 AM,C,24.5
3/13/20 3:48:00 AM,C,24.5
3/13/20 4:18:00 AM,C,24.5
3/13/20 4:48:00 AM,C,24.5
3/13/20 5:18:00 AM,C,24
3/13/20 5:48:00 AM,C,24
3/13/20 6:18:00 AM,C,24
3/13/20 6:48:00 AM,C,24
3/13/20 7:18:00 AM,C,24.5
3/13/20 7:48:00 AM,C,24.5
3/13/20 8:18:00 AM,C,25.5
3/13/20 8:48:00 AM,C,27.5
3/13/20 9:18:00 AM,C,29
3/13/20 9:48:00 AM,C,30.5
3/13/20 10:18:00 AM,C,31
3/13/20 10:48:00 AM,C,31
3/13/20 11:18:00 AM,C,31.5
3/13/20 11:48:00 AM,C,32.5
3/13/20 12:18:00 PM,C,33
3/13/20 12:48:00 PM,C,33.5
3/13/20 1:18:00 PM,C,33.5
3/13/20 1:48:00 PM,C,34
3/13/20 2:18:00 PM,C,36.5
3/13/20 2:48:00 PM,C,40
3/13/20 3:18:00 PM,C,33
3/13/20 3:48:00 PM,C,32
3/13/20 4:18:00 PM,C,31
3/13/20 4:48:00 PM,C,30.5
