1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 4C00000034728421
Is Mission Active?  true
Mission Start:  Wed Sep 05 13:45:00 BOT 2018
Sample Rate:  Every 20 minute(s)
Number of Mission Samples:  2875
Total Samples:  15351
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
9/5/18 1:45:00 PM,C,40.5
9/5/18 2:05:00 PM,C,52
9/5/18 2:25:00 PM,C,56
9/5/18 2:45:00 PM,C,55
9/5/18 3:05:00 PM,C,56
9/5/18 3:25:00 PM,C,57
9/5/18 3:45:00 PM,C,56.5
9/5/18 4:05:00 PM,C,52
9/5/18 4:25:00 PM,C,54
9/5/18 4:45:00 PM,C,50
9/5/18 5:05:00 PM,C,46
9/5/18 5:25:00 PM,C,40.5
9/5/18 5:45:00 PM,C,37.5
9/5/18 6:05:00 PM,C,34.5
9/5/18 6:25:00 PM,C,32.5
9/5/18 6:45:00 PM,C,31.5
9/5/18 7:05:00 PM,C,30.5
9/5/18 7:25:00 PM,C,29.5
9/5/18 7:45:00 PM,C,29
9/5/18 8:05:00 PM,C,28.5
9/5/18 8:25:00 PM,C,28
9/5/18 8:45:00 PM,C,27.5
9/5/18 9:05:00 PM,C,27.5
9/5/18 9:25:00 PM,C,27
9/5/18 9:45:00 PM,C,27
9/5/18 10:05:00 PM,C,27.5
9/5/18 10:25:00 PM,C,26.5
9/5/18 10:45:00 PM,C,27
9/5/18 11:05:00 PM,C,24.5
9/5/18 11:25:00 PM,C,24
9/5/18 11:45:00 PM,C,24.5
9/6/18 12:05:00 AM,C,24
9/6/18 12:25:00 AM,C,24
9/6/18 12:45:00 AM,C,24
9/6/18 1:05:00 AM,C,24
9/6/18 1:25:00 AM,C,24
9/6/18 1:45:00 AM,C,23.5
9/6/18 2:05:00 AM,C,23.5
9/6/18 2:25:00 AM,C,23.5
9/6/18 2:45:00 AM,C,23.5
9/6/18 3:05:00 AM,C,23.5
9/6/18 3:25:00 AM,C,23.5
9/6/18 3:45:00 AM,C,23.5
9/6/18 4:05:00 AM,C,23.5
9/6/18 4:25:00 AM,C,23.5
9/6/18 4:45:00 AM,C,23.5
9/6/18 5:05:00 AM,C,23.5
9/6/18 5:25:00 AM,C,23
9/6/18 5:45:00 AM,C,23
9/6/18 6:05:00 AM,C,23
9/6/18 6:25:00 AM,C,23
9/6/18 6:45:00 AM,C,24
9/6/18 7:05:00 AM,C,24.5
9/6/18 7:25:00 AM,C,25
9/6/18 7:45:00 AM,C,26
9/6/18 8:05:00 AM,C,27
9/6/18 8:25:00 AM,C,27.5
9/6/18 8:45:00 AM,C,29
9/6/18 9:05:00 AM,C,29
9/6/18 9:25:00 AM,C,40
9/6/18 9:45:00 AM,C,47
9/6/18 10:05:00 AM,C,50.5
9/6/18 10:25:00 AM,C,50
9/6/18 10:45:00 AM,C,58
9/6/18 11:05:00 AM,C,60
9/6/18 11:25:00 AM,C,58
9/6/18 11:45:00 AM,C,64.5
9/6/18 12:05:00 PM,C,63.5
9/6/18 12:25:00 PM,C,52.5
9/6/18 12:45:00 PM,C,66
9/6/18 1:05:00 PM,C,66
9/6/18 1:25:00 PM,C,66
9/6/18 1:45:00 PM,C,64
9/6/18 2:05:00 PM,C,68
9/6/18 2:25:00 PM,C,66.5
9/6/18 2:45:00 PM,C,61
9/6/18 3:05:00 PM,C,63.5
9/6/18 3:25:00 PM,C,61.5
9/6/18 3:45:00 PM,C,57.5
9/6/18 4:05:00 PM,C,52
9/6/18 4:25:00 PM,C,51.5
9/6/18 4:45:00 PM,C,43.5
9/6/18 5:05:00 PM,C,39.5
9/6/18 5:25:00 PM,C,39
9/6/18 5:45:00 PM,C,38.5
9/6/18 6:05:00 PM,C,35
9/6/18 6:25:00 PM,C,32
9/6/18 6:45:00 PM,C,30.5
9/6/18 7:05:00 PM,C,29.5
9/6/18 7:25:00 PM,C,29
9/6/18 7:45:00 PM,C,29
9/6/18 8:05:00 PM,C,29
9/6/18 8:25:00 PM,C,29
9/6/18 8:45:00 PM,C,28
9/6/18 9:05:00 PM,C,28.5
9/6/18 9:25:00 PM,C,28
9/6/18 9:45:00 PM,C,27.5
9/6/18 10:05:00 PM,C,27
9/6/18 10:25:00 PM,C,27.5
9/6/18 10:45:00 PM,C,27.5
9/6/18 11:05:00 PM,C,27
9/6/18 11:25:00 PM,C,27
9/6/18 11:45:00 PM,C,26.5
9/7/18 12:05:00 AM,C,26.5
9/7/18 12:25:00 AM,C,26.5
9/7/18 12:45:00 AM,C,26
9/7/18 1:05:00 AM,C,25.5
9/7/18 1:25:00 AM,C,25.5
9/7/18 1:45:00 AM,C,26
9/7/18 2:05:00 AM,C,25.5
9/7/18 2:25:00 AM,C,25.5
9/7/18 2:45:00 AM,C,25.5
9/7/18 3:05:00 AM,C,25
9/7/18 3:25:00 AM,C,25
9/7/18 3:45:00 AM,C,25
9/7/18 4:05:00 AM,C,25
9/7/18 4:25:00 AM,C,24.5
9/7/18 4:45:00 AM,C,24.5
9/7/18 5:05:00 AM,C,24.5
9/7/18 5:25:00 AM,C,24.5
9/7/18 5:45:00 AM,C,24
9/7/18 6:05:00 AM,C,24
9/7/18 6:25:00 AM,C,24
9/7/18 6:45:00 AM,C,25
9/7/18 7:05:00 AM,C,25.5
9/7/18 7:25:00 AM,C,27.5
9/7/18 7:45:00 AM,C,28
9/7/18 8:05:00 AM,C,31.5
9/7/18 8:25:00 AM,C,31.5
9/7/18 8:45:00 AM,C,32
9/7/18 9:05:00 AM,C,30
9/7/18 9:25:00 AM,C,39
9/7/18 9:45:00 AM,C,50.5
9/7/18 10:05:00 AM,C,55.5
9/7/18 10:25:00 AM,C,58
9/7/18 10:45:00 AM,C,59.5
9/7/18 11:05:00 AM,C,63.5
9/7/18 11:25:00 AM,C,65
9/7/18 11:45:00 AM,C,65
9/7/18 12:05:00 PM,C,56.5
9/7/18 12:25:00 PM,C,67.5
9/7/18 12:45:00 PM,C,63
9/7/18 1:05:00 PM,C,60.5
9/7/18 1:25:00 PM,C,63.5
9/7/18 1:45:00 PM,C,62
9/7/18 2:05:00 PM,C,60.5
9/7/18 2:25:00 PM,C,65
9/7/18 2:45:00 PM,C,63
9/7/18 3:05:00 PM,C,62
9/7/18 3:25:00 PM,C,60.5
9/7/18 3:45:00 PM,C,58
9/7/18 4:05:00 PM,C,58.5
9/7/18 4:25:00 PM,C,52.5
9/7/18 4:45:00 PM,C,48
9/7/18 5:05:00 PM,C,40
9/7/18 5:25:00 PM,C,39
9/7/18 5:45:00 PM,C,34
9/7/18 6:05:00 PM,C,32
9/7/18 6:25:00 PM,C,30.5
9/7/18 6:45:00 PM,C,29.5
9/7/18 7:05:00 PM,C,29
9/7/18 7:25:00 PM,C,28.5
9/7/18 7:45:00 PM,C,28
9/7/18 8:05:00 PM,C,27.5
9/7/18 8:25:00 PM,C,28
9/7/18 8:45:00 PM,C,27.5
9/7/18 9:05:00 PM,C,27.5
9/7/18 9:25:00 PM,C,27.5
9/7/18 9:45:00 PM,C,27
9/7/18 10:05:00 PM,C,27.5
9/7/18 10:25:00 PM,C,27.5
9/7/18 10:45:00 PM,C,28
9/7/18 11:05:00 PM,C,28
9/7/18 11:25:00 PM,C,28
9/7/18 11:45:00 PM,C,28
9/8/18 12:05:00 AM,C,27
9/8/18 12:25:00 AM,C,26.5
9/8/18 12:45:00 AM,C,26.5
9/8/18 1:05:00 AM,C,26.5
9/8/18 1:25:00 AM,C,26.5
9/8/18 1:45:00 AM,C,26.5
9/8/18 2:05:00 AM,C,26.5
9/8/18 2:25:00 AM,C,26
9/8/18 2:45:00 AM,C,26.5
9/8/18 3:05:00 AM,C,27
9/8/18 3:25:00 AM,C,26
9/8/18 3:45:00 AM,C,26
9/8/18 4:05:00 AM,C,25
9/8/18 4:25:00 AM,C,25
9/8/18 4:45:00 AM,C,25
9/8/18 5:05:00 AM,C,25
9/8/18 5:25:00 AM,C,25
9/8/18 5:45:00 AM,C,24.5
9/8/18 6:05:00 AM,C,25
9/8/18 6:25:00 AM,C,25.5
9/8/18 6:45:00 AM,C,27
9/8/18 7:05:00 AM,C,28
9/8/18 7:25:00 AM,C,28
9/8/18 7:45:00 AM,C,28
9/8/18 8:05:00 AM,C,29
9/8/18 8:25:00 AM,C,30.5
9/8/18 8:45:00 AM,C,31.5
9/8/18 9:05:00 AM,C,30
9/8/18 9:25:00 AM,C,35.5
9/8/18 9:45:00 AM,C,51
9/8/18 10:05:00 AM,C,47.5
9/8/18 10:25:00 AM,C,57.5
9/8/18 10:45:00 AM,C,60.5
9/8/18 11:05:00 AM,C,61.5
9/8/18 11:25:00 AM,C,62.5
9/8/18 11:45:00 AM,C,69.5
9/8/18 12:05:00 PM,C,55.5
9/8/18 12:25:00 PM,C,48
9/8/18 12:45:00 PM,C,63.5
9/8/18 1:05:00 PM,C,68
9/8/18 1:25:00 PM,C,68.5
9/8/18 1:45:00 PM,C,68.5
9/8/18 2:05:00 PM,C,69
9/8/18 2:25:00 PM,C,70
9/8/18 2:45:00 PM,C,68
9/8/18 3:05:00 PM,C,66.5
9/8/18 3:25:00 PM,C,65.5
9/8/18 3:45:00 PM,C,47.5
9/8/18 4:05:00 PM,C,53.5
9/8/18 4:25:00 PM,C,57
9/8/18 4:45:00 PM,C,42
9/8/18 5:05:00 PM,C,32
9/8/18 5:25:00 PM,C,36
9/8/18 5:45:00 PM,C,36.5
9/8/18 6:05:00 PM,C,34.5
9/8/18 6:25:00 PM,C,30.5
9/8/18 6:45:00 PM,C,29.5
9/8/18 7:05:00 PM,C,29
9/8/18 7:25:00 PM,C,28.5
9/8/18 7:45:00 PM,C,27.5
9/8/18 8:05:00 PM,C,27
9/8/18 8:25:00 PM,C,27
9/8/18 8:45:00 PM,C,26.5
9/8/18 9:05:00 PM,C,26.5
9/8/18 9:25:00 PM,C,26
9/8/18 9:45:00 PM,C,26
9/8/18 10:05:00 PM,C,26
9/8/18 10:25:00 PM,C,26
9/8/18 10:45:00 PM,C,25.5
9/8/18 11:05:00 PM,C,25.5
9/8/18 11:25:00 PM,C,25.5
9/8/18 11:45:00 PM,C,25.5
9/9/18 12:05:00 AM,C,26
9/9/18 12:25:00 AM,C,25.5
9/9/18 12:45:00 AM,C,25
9/9/18 1:05:00 AM,C,25
9/9/18 1:25:00 AM,C,25
9/9/18 1:45:00 AM,C,25
9/9/18 2:05:00 AM,C,25
9/9/18 2:25:00 AM,C,24.5
9/9/18 2:45:00 AM,C,24.5
9/9/18 3:05:00 AM,C,24
9/9/18 3:25:00 AM,C,24
9/9/18 3:45:00 AM,C,24
9/9/18 4:05:00 AM,C,24
9/9/18 4:25:00 AM,C,24.5
9/9/18 4:45:00 AM,C,24.5
9/9/18 5:05:00 AM,C,24
9/9/18 5:25:00 AM,C,23.5
9/9/18 5:45:00 AM,C,24
9/9/18 6:05:00 AM,C,24
9/9/18 6:25:00 AM,C,24
9/9/18 6:45:00 AM,C,25
9/9/18 7:05:00 AM,C,25
9/9/18 7:25:00 AM,C,25.5
9/9/18 7:45:00 AM,C,25.5
9/9/18 8:05:00 AM,C,27.5
9/9/18 8:25:00 AM,C,28.5
9/9/18 8:45:00 AM,C,30.5
9/9/18 9:05:00 AM,C,29
9/9/18 9:25:00 AM,C,33
9/9/18 9:45:00 AM,C,47
9/9/18 10:05:00 AM,C,51
9/9/18 10:25:00 AM,C,54.5
9/9/18 10:45:00 AM,C,57.5
9/9/18 11:05:00 AM,C,60.5
9/9/18 11:25:00 AM,C,62
9/9/18 11:45:00 AM,C,63.5
9/9/18 12:05:00 PM,C,65
9/9/18 12:25:00 PM,C,66
9/9/18 12:45:00 PM,C,67
9/9/18 1:05:00 PM,C,66.5
9/9/18 1:25:00 PM,C,66.5
9/9/18 1:45:00 PM,C,66
9/9/18 2:05:00 PM,C,64.5
9/9/18 2:25:00 PM,C,63.5
9/9/18 2:45:00 PM,C,64
9/9/18 3:05:00 PM,C,62
9/9/18 3:25:00 PM,C,59.5
9/9/18 3:45:00 PM,C,59
9/9/18 4:05:00 PM,C,56.5
9/9/18 4:25:00 PM,C,54.5
9/9/18 4:45:00 PM,C,51
9/9/18 5:05:00 PM,C,46
9/9/18 5:25:00 PM,C,41
9/9/18 5:45:00 PM,C,35.5
9/9/18 6:05:00 PM,C,32.5
9/9/18 6:25:00 PM,C,31
9/9/18 6:45:00 PM,C,29.5
9/9/18 7:05:00 PM,C,29
9/9/18 7:25:00 PM,C,27.5
9/9/18 7:45:00 PM,C,26.5
9/9/18 8:05:00 PM,C,26.5
9/9/18 8:25:00 PM,C,26.5
9/9/18 8:45:00 PM,C,26.5
9/9/18 9:05:00 PM,C,26.5
9/9/18 9:25:00 PM,C,26
9/9/18 9:45:00 PM,C,26
9/9/18 10:05:00 PM,C,26
9/9/18 10:25:00 PM,C,25.5
9/9/18 10:45:00 PM,C,26
9/9/18 11:05:00 PM,C,26.5
9/9/18 11:25:00 PM,C,25.5
9/9/18 11:45:00 PM,C,25.5
9/10/18 12:05:00 AM,C,25
9/10/18 12:25:00 AM,C,25
9/10/18 12:45:00 AM,C,24.5
9/10/18 1:05:00 AM,C,24.5
9/10/18 1:25:00 AM,C,24.5
9/10/18 1:45:00 AM,C,24.5
9/10/18 2:05:00 AM,C,24
9/10/18 2:25:00 AM,C,24
9/10/18 2:45:00 AM,C,24
9/10/18 3:05:00 AM,C,24
9/10/18 3:25:00 AM,C,23.5
9/10/18 3:45:00 AM,C,23.5
9/10/18 4:05:00 AM,C,23.5
9/10/18 4:25:00 AM,C,23.5
9/10/18 4:45:00 AM,C,23
9/10/18 5:05:00 AM,C,23
9/10/18 5:25:00 AM,C,23
9/10/18 5:45:00 AM,C,23
9/10/18 6:05:00 AM,C,23
9/10/18 6:25:00 AM,C,23
9/10/18 6:45:00 AM,C,23.5
9/10/18 7:05:00 AM,C,24
9/10/18 7:25:00 AM,C,24.5
9/10/18 7:45:00 AM,C,25
9/10/18 8:05:00 AM,C,28.5
9/10/18 8:25:00 AM,C,29
9/10/18 8:45:00 AM,C,28.5
9/10/18 9:05:00 AM,C,29
9/10/18 9:25:00 AM,C,31.5
9/10/18 9:45:00 AM,C,49
9/10/18 10:05:00 AM,C,51.5
9/10/18 10:25:00 AM,C,52.5
9/10/18 10:45:00 AM,C,61.5
9/10/18 11:05:00 AM,C,62.5
9/10/18 11:25:00 AM,C,64.5
9/10/18 11:45:00 AM,C,65.5
9/10/18 12:05:00 PM,C,65.5
9/10/18 12:25:00 PM,C,67
9/10/18 12:45:00 PM,C,68
9/10/18 1:05:00 PM,C,67
9/10/18 1:25:00 PM,C,66.5
9/10/18 1:45:00 PM,C,68.5
9/10/18 2:05:00 PM,C,68.5
9/10/18 2:25:00 PM,C,65.5
9/10/18 2:45:00 PM,C,63
9/10/18 3:05:00 PM,C,43
9/10/18 3:25:00 PM,C,40
9/10/18 3:45:00 PM,C,40
9/10/18 4:05:00 PM,C,38.5
9/10/18 4:25:00 PM,C,37.5
9/10/18 4:45:00 PM,C,35
9/10/18 5:05:00 PM,C,34
9/10/18 5:25:00 PM,C,36
9/10/18 5:45:00 PM,C,32.5
9/10/18 6:05:00 PM,C,30
9/10/18 6:25:00 PM,C,28.5
9/10/18 6:45:00 PM,C,28
9/10/18 7:05:00 PM,C,27.5
9/10/18 7:25:00 PM,C,27
9/10/18 7:45:00 PM,C,26.5
9/10/18 8:05:00 PM,C,26.5
9/10/18 8:25:00 PM,C,26
9/10/18 8:45:00 PM,C,26
9/10/18 9:05:00 PM,C,25.5
9/10/18 9:25:00 PM,C,25.5
9/10/18 9:45:00 PM,C,25
9/10/18 10:05:00 PM,C,25
9/10/18 10:25:00 PM,C,25
9/10/18 10:45:00 PM,C,24.5
9/10/18 11:05:00 PM,C,24.5
9/10/18 11:25:00 PM,C,24.5
9/10/18 11:45:00 PM,C,24.5
9/11/18 12:05:00 AM,C,24.5
9/11/18 12:25:00 AM,C,24.5
9/11/18 12:45:00 AM,C,24
9/11/18 1:05:00 AM,C,24
9/11/18 1:25:00 AM,C,24
9/11/18 1:45:00 AM,C,23.5
9/11/18 2:05:00 AM,C,24
9/11/18 2:25:00 AM,C,23.5
9/11/18 2:45:00 AM,C,23.5
9/11/18 3:05:00 AM,C,23.5
9/11/18 3:25:00 AM,C,23
9/11/18 3:45:00 AM,C,23
9/11/18 4:05:00 AM,C,23
9/11/18 4:25:00 AM,C,23
9/11/18 4:45:00 AM,C,23
9/11/18 5:05:00 AM,C,23
9/11/18 5:25:00 AM,C,23
9/11/18 5:45:00 AM,C,23
9/11/18 6:05:00 AM,C,23
9/11/18 6:25:00 AM,C,23
9/11/18 6:45:00 AM,C,23.5
9/11/18 7:05:00 AM,C,24
9/11/18 7:25:00 AM,C,24.5
9/11/18 7:45:00 AM,C,25
9/11/18 8:05:00 AM,C,30
9/11/18 8:25:00 AM,C,29
9/11/18 8:45:00 AM,C,31
9/11/18 9:05:00 AM,C,30
9/11/18 9:25:00 AM,C,40
9/11/18 9:45:00 AM,C,52
9/11/18 10:05:00 AM,C,57.5
9/11/18 10:25:00 AM,C,60
9/11/18 10:45:00 AM,C,62
9/11/18 11:05:00 AM,C,66
9/11/18 11:25:00 AM,C,47.5
9/11/18 11:45:00 AM,C,60
9/11/18 12:05:00 PM,C,66.5
9/11/18 12:25:00 PM,C,53.5
9/11/18 12:45:00 PM,C,46.5
9/11/18 1:05:00 PM,C,57.5
9/11/18 1:25:00 PM,C,39
9/11/18 1:45:00 PM,C,34
9/11/18 2:05:00 PM,C,33.5
9/11/18 2:25:00 PM,C,40
9/11/18 2:45:00 PM,C,49.5
9/11/18 3:05:00 PM,C,30.5
9/11/18 3:25:00 PM,C,33
9/11/18 3:45:00 PM,C,32
9/11/18 4:05:00 PM,C,29.5
9/11/18 4:25:00 PM,C,37.5
9/11/18 4:45:00 PM,C,34
9/11/18 5:05:00 PM,C,37.5
9/11/18 5:25:00 PM,C,35.5
9/11/18 5:45:00 PM,C,32.5
9/11/18 6:05:00 PM,C,29
9/11/18 6:25:00 PM,C,28.5
9/11/18 6:45:00 PM,C,27.5
9/11/18 7:05:00 PM,C,27
9/11/18 7:25:00 PM,C,27
9/11/18 7:45:00 PM,C,27
9/11/18 8:05:00 PM,C,26.5
9/11/18 8:25:00 PM,C,26.5
9/11/18 8:45:00 PM,C,26
9/11/18 9:05:00 PM,C,25.5
9/11/18 9:25:00 PM,C,25
9/11/18 9:45:00 PM,C,25
9/11/18 10:05:00 PM,C,25
9/11/18 10:25:00 PM,C,25
9/11/18 10:45:00 PM,C,25
9/11/18 11:05:00 PM,C,24.5
9/11/18 11:25:00 PM,C,24.5
9/11/18 11:45:00 PM,C,24.5
9/12/18 12:05:00 AM,C,24
9/12/18 12:25:00 AM,C,24
9/12/18 12:45:00 AM,C,24.5
9/12/18 1:05:00 AM,C,24.5
9/12/18 1:25:00 AM,C,24
9/12/18 1:45:00 AM,C,24
9/12/18 2:05:00 AM,C,24
9/12/18 2:25:00 AM,C,24.5
9/12/18 2:45:00 AM,C,24
9/12/18 3:05:00 AM,C,24
9/12/18 3:25:00 AM,C,24
9/12/18 3:45:00 AM,C,24
9/12/18 4:05:00 AM,C,23.5
9/12/18 4:25:00 AM,C,23.5
9/12/18 4:45:00 AM,C,23.5
9/12/18 5:05:00 AM,C,23.5
9/12/18 5:25:00 AM,C,23
9/12/18 5:45:00 AM,C,23
9/12/18 6:05:00 AM,C,23
9/12/18 6:25:00 AM,C,23
9/12/18 6:45:00 AM,C,23.5
9/12/18 7:05:00 AM,C,24
9/12/18 7:25:00 AM,C,25
9/12/18 7:45:00 AM,C,26.5
9/12/18 8:05:00 AM,C,26.5
9/12/18 8:25:00 AM,C,28.5
9/12/18 8:45:00 AM,C,29
9/12/18 9:05:00 AM,C,28.5
9/12/18 9:25:00 AM,C,37.5
9/12/18 9:45:00 AM,C,47
9/12/18 10:05:00 AM,C,51
9/12/18 10:25:00 AM,C,54.5
9/12/18 10:45:00 AM,C,58.5
9/12/18 11:05:00 AM,C,61
9/12/18 11:25:00 AM,C,63.5
9/12/18 11:45:00 AM,C,64.5
9/12/18 12:05:00 PM,C,65.5
9/12/18 12:25:00 PM,C,67
9/12/18 12:45:00 PM,C,59.5
