1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 9B00000041611821
Is Mission Active?  true
Mission Start:  Fri Aug 06 08:50:00 BOT 2021
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1682
Total Samples:  42725
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
8/6/21 8:50:00 AM,C,34
8/6/21 9:20:00 AM,C,37
8/6/21 9:50:00 AM,C,40.5
8/6/21 10:20:00 AM,C,41
8/6/21 10:50:00 AM,C,44.5
8/6/21 11:20:00 AM,C,45.5
8/6/21 11:50:00 AM,C,46.5
8/6/21 12:20:00 PM,C,47.5
8/6/21 12:50:00 PM,C,47
8/6/21 1:20:00 PM,C,49
8/6/21 1:50:00 PM,C,48
8/6/21 2:20:00 PM,C,47.5
8/6/21 2:50:00 PM,C,45
8/6/21 3:20:00 PM,C,44
8/6/21 3:50:00 PM,C,42
8/6/21 4:20:00 PM,C,40
8/6/21 4:50:00 PM,C,37
8/6/21 5:20:00 PM,C,35.5
8/6/21 5:50:00 PM,C,33
8/6/21 6:20:00 PM,C,30.5
8/6/21 6:50:00 PM,C,28
8/6/21 7:20:00 PM,C,27.5
8/6/21 7:50:00 PM,C,27
8/6/21 8:20:00 PM,C,26.5
8/6/21 8:50:00 PM,C,26.5
8/6/21 9:20:00 PM,C,26.5
8/6/21 9:50:00 PM,C,26
8/6/21 10:20:00 PM,C,26
8/6/21 10:50:00 PM,C,26
8/6/21 11:20:00 PM,C,26
8/6/21 11:50:00 PM,C,25.5
8/7/21 12:20:00 AM,C,25.5
8/7/21 12:50:00 AM,C,25
8/7/21 1:20:00 AM,C,25
8/7/21 1:50:00 AM,C,24.5
8/7/21 2:20:00 AM,C,24.5
8/7/21 2:50:00 AM,C,25
8/7/21 3:20:00 AM,C,24.5
8/7/21 3:50:00 AM,C,24.5
8/7/21 4:20:00 AM,C,24
8/7/21 4:50:00 AM,C,24
8/7/21 5:20:00 AM,C,24
8/7/21 5:50:00 AM,C,23.5
8/7/21 6:20:00 AM,C,24
8/7/21 6:50:00 AM,C,25
8/7/21 7:20:00 AM,C,29
8/7/21 7:50:00 AM,C,33
8/7/21 8:20:00 AM,C,34
8/7/21 8:50:00 AM,C,38
8/7/21 9:20:00 AM,C,40
8/7/21 9:50:00 AM,C,38
8/7/21 10:20:00 AM,C,41.5
8/7/21 10:50:00 AM,C,45
8/7/21 11:20:00 AM,C,42
8/7/21 11:50:00 AM,C,47
8/7/21 12:20:00 PM,C,46
8/7/21 12:50:00 PM,C,48
8/7/21 1:20:00 PM,C,50
8/7/21 1:50:00 PM,C,49
8/7/21 2:20:00 PM,C,47
8/7/21 2:50:00 PM,C,45
8/7/21 3:20:00 PM,C,47
8/7/21 3:50:00 PM,C,42
8/7/21 4:20:00 PM,C,34.5
8/7/21 4:50:00 PM,C,33.5
8/7/21 5:20:00 PM,C,30
8/7/21 5:50:00 PM,C,32.5
8/7/21 6:20:00 PM,C,30
8/7/21 6:50:00 PM,C,29
8/7/21 7:20:00 PM,C,27.5
8/7/21 7:50:00 PM,C,27
8/7/21 8:20:00 PM,C,26.5
8/7/21 8:50:00 PM,C,26.5
8/7/21 9:20:00 PM,C,26.5
8/7/21 9:50:00 PM,C,26.5
8/7/21 10:20:00 PM,C,26
8/7/21 10:50:00 PM,C,26
8/7/21 11:20:00 PM,C,26
8/7/21 11:50:00 PM,C,26
8/8/21 12:20:00 AM,C,26
8/8/21 12:50:00 AM,C,26
8/8/21 1:20:00 AM,C,26
8/8/21 1:50:00 AM,C,26
8/8/21 2:20:00 AM,C,25
8/8/21 2:50:00 AM,C,25
8/8/21 3:20:00 AM,C,25.5
8/8/21 3:50:00 AM,C,26
8/8/21 4:20:00 AM,C,26
8/8/21 4:50:00 AM,C,25.5
8/8/21 5:20:00 AM,C,25.5
8/8/21 5:50:00 AM,C,25.5
8/8/21 6:20:00 AM,C,25.5
8/8/21 6:50:00 AM,C,26.5
8/8/21 7:20:00 AM,C,30
8/8/21 7:50:00 AM,C,30.5
8/8/21 8:20:00 AM,C,32.5
8/8/21 8:50:00 AM,C,35
8/8/21 9:20:00 AM,C,26
8/8/21 9:50:00 AM,C,29
8/8/21 10:20:00 AM,C,30.5
8/8/21 10:50:00 AM,C,24
8/8/21 11:20:00 AM,C,25
8/8/21 11:50:00 AM,C,24.5
8/8/21 12:20:00 PM,C,24.5
8/8/21 12:50:00 PM,C,26.5
8/8/21 1:20:00 PM,C,27.5
8/8/21 1:50:00 PM,C,29
8/8/21 2:20:00 PM,C,28.5
8/8/21 2:50:00 PM,C,28.5
8/8/21 3:20:00 PM,C,31.5
8/8/21 3:50:00 PM,C,31
