1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 23000000415A2021
Is Mission Active?  true
Mission Start:  Tue Mar 20 00:34:00 BOT 1900
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  816
Total Samples:  4610
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
4/1/00 4:04:00 AM,C,48.5
4/1/00 4:34:00 AM,C,47.5
4/1/00 5:04:00 AM,C,49.5
4/1/00 5:34:00 AM,C,38
4/1/00 6:04:00 AM,C,33
4/1/00 6:34:00 AM,C,44.5
4/1/00 7:04:00 AM,C,42
4/1/00 7:34:00 AM,C,39
4/1/00 8:04:00 AM,C,34.5
4/1/00 8:34:00 AM,C,30.5
4/1/00 9:04:00 AM,C,26.5
4/1/00 9:34:00 AM,C,25.5
4/1/00 10:04:00 AM,C,25
4/1/00 10:34:00 AM,C,24
4/1/00 11:04:00 AM,C,24
4/1/00 11:34:00 AM,C,23.5
4/1/00 12:04:00 PM,C,21.5
4/1/00 12:34:00 PM,C,22
4/1/00 1:04:00 PM,C,23
4/1/00 1:34:00 PM,C,23
4/1/00 2:04:00 PM,C,23
4/1/00 2:34:00 PM,C,23
4/1/00 3:04:00 PM,C,23
4/1/00 3:34:00 PM,C,23
4/1/00 4:04:00 PM,C,23
4/1/00 4:34:00 PM,C,23
4/1/00 5:04:00 PM,C,22.5
4/1/00 5:34:00 PM,C,22.5
4/1/00 6:04:00 PM,C,22.5
4/1/00 6:34:00 PM,C,22.5
4/1/00 7:04:00 PM,C,23
4/1/00 7:34:00 PM,C,22.5
4/1/00 8:04:00 PM,C,23
4/1/00 8:34:00 PM,C,22.5
4/1/00 9:04:00 PM,C,22
4/1/00 9:34:00 PM,C,23
4/1/00 10:04:00 PM,C,25.5
4/1/00 10:34:00 PM,C,26.5
4/1/00 11:04:00 PM,C,30.5
4/1/00 11:34:00 PM,C,33
4/2/00 12:04:00 AM,C,37
4/2/00 12:34:00 AM,C,39.5
4/2/00 1:04:00 AM,C,39
4/2/00 1:34:00 AM,C,45
4/2/00 2:04:00 AM,C,46.5
4/2/00 2:34:00 AM,C,48.5
4/2/00 3:04:00 AM,C,50
4/2/00 3:34:00 AM,C,53
4/2/00 4:04:00 AM,C,52
4/2/00 4:34:00 AM,C,52.5
4/2/00 5:04:00 AM,C,53
4/2/00 5:34:00 AM,C,52
4/2/00 6:04:00 AM,C,51
4/2/00 6:34:00 AM,C,45
4/2/00 7:04:00 AM,C,43
4/2/00 7:34:00 AM,C,38.5
4/2/00 8:04:00 AM,C,33.5
4/2/00 8:34:00 AM,C,28
4/2/00 9:04:00 AM,C,26
4/2/00 9:34:00 AM,C,25.5
4/2/00 10:04:00 AM,C,25
4/2/00 10:34:00 AM,C,25
4/2/00 11:04:00 AM,C,24.5
4/2/00 11:34:00 AM,C,24.5
4/2/00 12:04:00 PM,C,24
4/2/00 12:34:00 PM,C,24
4/2/00 1:04:00 PM,C,24
4/2/00 1:34:00 PM,C,23.5
4/2/00 2:04:00 PM,C,23.5
