1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 5900000041AF5921
Is Mission Active?  true
Mission Start:  Thu May 02 08:16:00 BOT 2019
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1392
Total Samples:  2733
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
5/2/19 8:16:00 AM,C,29.5
5/2/19 8:46:00 AM,C,29.5
5/2/19 9:16:00 AM,C,31.5
5/2/19 9:46:00 AM,C,33.5
5/2/19 10:16:00 AM,C,34
5/2/19 10:46:00 AM,C,33
5/2/19 11:16:00 AM,C,36
5/2/19 11:46:00 AM,C,42
5/2/19 12:16:00 PM,C,43.5
5/2/19 12:46:00 PM,C,44
5/2/19 1:16:00 PM,C,45
5/2/19 1:46:00 PM,C,45.5
5/2/19 2:16:00 PM,C,45
5/2/19 2:46:00 PM,C,42.5
5/2/19 3:16:00 PM,C,42
5/2/19 3:46:00 PM,C,38.5
5/2/19 4:16:00 PM,C,33.5
5/2/19 4:46:00 PM,C,34
5/2/19 5:16:00 PM,C,30
5/2/19 5:46:00 PM,C,29
5/2/19 6:16:00 PM,C,27
5/2/19 6:46:00 PM,C,26
5/2/19 7:16:00 PM,C,26
5/2/19 7:46:00 PM,C,26
5/2/19 8:16:00 PM,C,26
5/2/19 8:46:00 PM,C,25.5
5/2/19 9:16:00 PM,C,25.5
5/2/19 9:46:00 PM,C,25.5
5/2/19 10:16:00 PM,C,25.5
5/2/19 10:46:00 PM,C,25.5
5/2/19 11:16:00 PM,C,25
5/2/19 11:46:00 PM,C,25.5
5/3/19 12:16:00 AM,C,25
5/3/19 12:46:00 AM,C,25.5
5/3/19 1:16:00 AM,C,25.5
5/3/19 1:46:00 AM,C,25
5/3/19 2:16:00 AM,C,25
5/3/19 2:46:00 AM,C,25
5/3/19 3:16:00 AM,C,24.5
5/3/19 3:46:00 AM,C,24.5
5/3/19 4:16:00 AM,C,24.5
5/3/19 4:46:00 AM,C,24.5
5/3/19 5:16:00 AM,C,24
5/3/19 5:46:00 AM,C,24
5/3/19 6:16:00 AM,C,24.5
5/3/19 6:46:00 AM,C,25.5
5/3/19 7:16:00 AM,C,27
5/3/19 7:46:00 AM,C,29
5/3/19 8:16:00 AM,C,31
5/3/19 8:46:00 AM,C,30.5
5/3/19 9:16:00 AM,C,34
5/3/19 9:46:00 AM,C,40
5/3/19 10:16:00 AM,C,46
5/3/19 10:46:00 AM,C,45
5/3/19 11:16:00 AM,C,44.5
5/3/19 11:46:00 AM,C,46.5
5/3/19 12:16:00 PM,C,41
5/3/19 12:46:00 PM,C,44.5
5/3/19 1:16:00 PM,C,43
5/3/19 1:46:00 PM,C,43
5/3/19 2:16:00 PM,C,43
5/3/19 2:46:00 PM,C,41
5/3/19 3:16:00 PM,C,37.5
5/3/19 3:46:00 PM,C,34.5
5/3/19 4:16:00 PM,C,33.5
5/3/19 4:46:00 PM,C,31.5
5/3/19 5:16:00 PM,C,30.5
5/3/19 5:46:00 PM,C,28.5
5/3/19 6:16:00 PM,C,27
5/3/19 6:46:00 PM,C,26
5/3/19 7:16:00 PM,C,26
5/3/19 7:46:00 PM,C,26
5/3/19 8:16:00 PM,C,26
5/3/19 8:46:00 PM,C,26
5/3/19 9:16:00 PM,C,26
5/3/19 9:46:00 PM,C,25
5/3/19 10:16:00 PM,C,25
5/3/19 10:46:00 PM,C,25
