1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: C900000041AC4E21
Is Mission Active?  true
Mission Start:  Fri Jun 28 08:14:00 BOT 2019
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  1684
Total Samples:  5762
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
6/28/19 8:14:00 AM,C,35.5
6/28/19 8:44:00 AM,C,42.5
6/28/19 9:14:00 AM,C,47
6/28/19 9:44:00 AM,C,50
6/28/19 10:14:00 AM,C,49.5
6/28/19 10:44:00 AM,C,52
6/28/19 11:14:00 AM,C,51
6/28/19 11:44:00 AM,C,51.5
6/28/19 12:14:00 PM,C,43
6/28/19 12:44:00 PM,C,49.5
6/28/19 1:14:00 PM,C,57.5
6/28/19 1:44:00 PM,C,58
6/28/19 2:14:00 PM,C,56.5
6/28/19 2:44:00 PM,C,51
6/28/19 3:14:00 PM,C,43.5
6/28/19 3:44:00 PM,C,49.5
6/28/19 4:14:00 PM,C,47.5
6/28/19 4:44:00 PM,C,44.5
6/28/19 5:14:00 PM,C,29.5
6/28/19 5:44:00 PM,C,29.5
6/28/19 6:14:00 PM,C,28.5
6/28/19 6:44:00 PM,C,27.5
6/28/19 7:14:00 PM,C,27
6/28/19 7:44:00 PM,C,27
6/28/19 8:14:00 PM,C,27
6/28/19 8:44:00 PM,C,26.5
6/28/19 9:14:00 PM,C,26.5
6/28/19 9:44:00 PM,C,26
6/28/19 10:14:00 PM,C,26
6/28/19 10:44:00 PM,C,26
6/28/19 11:14:00 PM,C,26
6/28/19 11:44:00 PM,C,26
6/29/19 12:14:00 AM,C,26
6/29/19 12:44:00 AM,C,26
6/29/19 1:14:00 AM,C,26
6/29/19 1:44:00 AM,C,25.5
6/29/19 2:14:00 AM,C,26
6/29/19 2:44:00 AM,C,26
6/29/19 3:14:00 AM,C,26
6/29/19 3:44:00 AM,C,26
6/29/19 4:14:00 AM,C,26
6/29/19 4:44:00 AM,C,25.5
6/29/19 5:14:00 AM,C,25.5
6/29/19 5:44:00 AM,C,26
6/29/19 6:14:00 AM,C,26.5
6/29/19 6:44:00 AM,C,27
6/29/19 7:14:00 AM,C,31
6/29/19 7:44:00 AM,C,34
6/29/19 8:14:00 AM,C,37
6/29/19 8:44:00 AM,C,39.5
6/29/19 9:14:00 AM,C,43
6/29/19 9:44:00 AM,C,45
6/29/19 10:14:00 AM,C,47
6/29/19 10:44:00 AM,C,49
6/29/19 11:14:00 AM,C,46
6/29/19 11:44:00 AM,C,49
6/29/19 12:14:00 PM,C,52.5
6/29/19 12:44:00 PM,C,53
6/29/19 1:14:00 PM,C,52
6/29/19 1:44:00 PM,C,53
6/29/19 2:14:00 PM,C,54
6/29/19 2:44:00 PM,C,52
6/29/19 3:14:00 PM,C,52
6/29/19 3:44:00 PM,C,48
6/29/19 4:14:00 PM,C,46
6/29/19 4:44:00 PM,C,43.5
6/29/19 5:14:00 PM,C,38
6/29/19 5:44:00 PM,C,35
6/29/19 6:14:00 PM,C,32
6/29/19 6:44:00 PM,C,30.5
6/29/19 7:14:00 PM,C,29
6/29/19 7:44:00 PM,C,28.5
6/29/19 8:14:00 PM,C,28.5
6/29/19 8:44:00 PM,C,28.5
6/29/19 9:14:00 PM,C,28.5
6/29/19 9:44:00 PM,C,27.5
6/29/19 10:14:00 PM,C,27.5
6/29/19 10:44:00 PM,C,27.5
6/29/19 11:14:00 PM,C,27.5
6/29/19 11:44:00 PM,C,27
6/30/19 12:14:00 AM,C,27
6/30/19 12:44:00 AM,C,27
6/30/19 1:14:00 AM,C,27
6/30/19 1:44:00 AM,C,27
6/30/19 2:14:00 AM,C,27
6/30/19 2:44:00 AM,C,27
6/30/19 3:14:00 AM,C,27
6/30/19 3:44:00 AM,C,26.5
6/30/19 4:14:00 AM,C,26.5
6/30/19 4:44:00 AM,C,26.5
6/30/19 5:14:00 AM,C,26.5
6/30/19 5:44:00 AM,C,27
6/30/19 6:14:00 AM,C,27
6/30/19 6:44:00 AM,C,28
6/30/19 7:14:00 AM,C,30.5
6/30/19 7:44:00 AM,C,35
6/30/19 8:14:00 AM,C,37.5
6/30/19 8:44:00 AM,C,41
6/30/19 9:14:00 AM,C,43.5
6/30/19 9:44:00 AM,C,45
6/30/19 10:14:00 AM,C,48.5
6/30/19 10:44:00 AM,C,53
6/30/19 11:14:00 AM,C,52
6/30/19 11:44:00 AM,C,56
6/30/19 12:14:00 PM,C,56
6/30/19 12:44:00 PM,C,57.5
6/30/19 1:14:00 PM,C,57
6/30/19 1:44:00 PM,C,56
6/30/19 2:14:00 PM,C,52.5
6/30/19 2:44:00 PM,C,51.5
6/30/19 3:14:00 PM,C,50
6/30/19 3:44:00 PM,C,46.5
6/30/19 4:14:00 PM,C,45.5
6/30/19 4:44:00 PM,C,43
6/30/19 5:14:00 PM,C,40
6/30/19 5:44:00 PM,C,36.5
6/30/19 6:14:00 PM,C,32.5
6/30/19 6:44:00 PM,C,30
6/30/19 7:14:00 PM,C,29
6/30/19 7:44:00 PM,C,28.5
6/30/19 8:14:00 PM,C,28.5
6/30/19 8:44:00 PM,C,28
6/30/19 9:14:00 PM,C,28
6/30/19 9:44:00 PM,C,27.5
6/30/19 10:14:00 PM,C,27.5
6/30/19 10:44:00 PM,C,27.5
6/30/19 11:14:00 PM,C,27.5
6/30/19 11:44:00 PM,C,27.5
7/1/19 12:14:00 AM,C,27
7/1/19 12:44:00 AM,C,27
7/1/19 1:14:00 AM,C,26.5
7/1/19 1:44:00 AM,C,26.5
7/1/19 2:14:00 AM,C,26
7/1/19 2:44:00 AM,C,25.5
7/1/19 3:14:00 AM,C,26
7/1/19 3:44:00 AM,C,25.5
7/1/19 4:14:00 AM,C,25.5
7/1/19 4:44:00 AM,C,25.5
7/1/19 5:14:00 AM,C,25.5
7/1/19 5:44:00 AM,C,25
7/1/19 6:14:00 AM,C,25.5
7/1/19 6:44:00 AM,C,27.5
7/1/19 7:14:00 AM,C,32
7/1/19 7:44:00 AM,C,36
7/1/19 8:14:00 AM,C,41.5
7/1/19 8:44:00 AM,C,42
7/1/19 9:14:00 AM,C,44.5
7/1/19 9:44:00 AM,C,48.5
7/1/19 10:14:00 AM,C,49.5
7/1/19 10:44:00 AM,C,53.5
7/1/19 11:14:00 AM,C,56
7/1/19 11:44:00 AM,C,59
7/1/19 12:14:00 PM,C,63
7/1/19 12:44:00 PM,C,60.5
7/1/19 1:14:00 PM,C,63.5
7/1/19 1:44:00 PM,C,67
7/1/19 2:14:00 PM,C,57
7/1/19 2:44:00 PM,C,65
7/1/19 3:14:00 PM,C,61
7/1/19 3:44:00 PM,C,54.5
7/1/19 4:14:00 PM,C,52
7/1/19 4:44:00 PM,C,46.5
7/1/19 5:14:00 PM,C,43.5
7/1/19 5:44:00 PM,C,37.5
7/1/19 6:14:00 PM,C,33.5
7/1/19 6:44:00 PM,C,31
7/1/19 7:14:00 PM,C,29
7/1/19 7:44:00 PM,C,28.5
7/1/19 8:14:00 PM,C,28
7/1/19 8:44:00 PM,C,27.5
7/1/19 9:14:00 PM,C,27
7/1/19 9:44:00 PM,C,26.5
7/1/19 10:14:00 PM,C,26.5
7/1/19 10:44:00 PM,C,26.5
7/1/19 11:14:00 PM,C,26.5
7/1/19 11:44:00 PM,C,26.5
7/2/19 12:14:00 AM,C,26
7/2/19 12:44:00 AM,C,26
7/2/19 1:14:00 AM,C,25.5
7/2/19 1:44:00 AM,C,25.5
7/2/19 2:14:00 AM,C,25.5
7/2/19 2:44:00 AM,C,25.5
7/2/19 3:14:00 AM,C,25.5
7/2/19 3:44:00 AM,C,25
7/2/19 4:14:00 AM,C,24.5
7/2/19 4:44:00 AM,C,24.5
7/2/19 5:14:00 AM,C,24.5
7/2/19 5:44:00 AM,C,24.5
7/2/19 6:14:00 AM,C,25
7/2/19 6:44:00 AM,C,27.5
7/2/19 7:14:00 AM,C,32.5
7/2/19 7:44:00 AM,C,37
7/2/19 8:14:00 AM,C,41.5
7/2/19 8:44:00 AM,C,46.5
7/2/19 9:14:00 AM,C,49.5
7/2/19 9:44:00 AM,C,53.5
7/2/19 10:14:00 AM,C,44.5
7/2/19 10:44:00 AM,C,40.5
7/2/19 11:14:00 AM,C,62.5
7/2/19 11:44:00 AM,C,62
7/2/19 12:14:00 PM,C,64.5
7/2/19 12:44:00 PM,C,66.5
7/2/19 1:14:00 PM,C,66
7/2/19 1:44:00 PM,C,64.5
7/2/19 2:14:00 PM,C,65
7/2/19 2:44:00 PM,C,63
7/2/19 3:14:00 PM,C,59.5
7/2/19 3:44:00 PM,C,44.5
7/2/19 4:14:00 PM,C,41
7/2/19 4:44:00 PM,C,49.5
7/2/19 5:14:00 PM,C,49
7/2/19 5:44:00 PM,C,42
7/2/19 6:14:00 PM,C,36
7/2/19 6:44:00 PM,C,32
7/2/19 7:14:00 PM,C,29.5
7/2/19 7:44:00 PM,C,29
7/2/19 8:14:00 PM,C,29
7/2/19 8:44:00 PM,C,28.5
7/2/19 9:14:00 PM,C,28
7/2/19 9:44:00 PM,C,27.5
7/2/19 10:14:00 PM,C,27
7/2/19 10:44:00 PM,C,26.5
7/2/19 11:14:00 PM,C,26
7/2/19 11:44:00 PM,C,26.5
7/3/19 12:14:00 AM,C,26
7/3/19 12:44:00 AM,C,26
7/3/19 1:14:00 AM,C,26.5
7/3/19 1:44:00 AM,C,26
7/3/19 2:14:00 AM,C,25.5
7/3/19 2:44:00 AM,C,26
7/3/19 3:14:00 AM,C,26.5
7/3/19 3:44:00 AM,C,26
7/3/19 4:14:00 AM,C,26.5
7/3/19 4:44:00 AM,C,26
7/3/19 5:14:00 AM,C,25.5
7/3/19 5:44:00 AM,C,25
7/3/19 6:14:00 AM,C,25.5
7/3/19 6:44:00 AM,C,27.5
7/3/19 7:14:00 AM,C,30.5
7/3/19 7:44:00 AM,C,37
7/3/19 8:14:00 AM,C,41
7/3/19 8:44:00 AM,C,46
7/3/19 9:14:00 AM,C,48.5
7/3/19 9:44:00 AM,C,50.5
7/3/19 10:14:00 AM,C,53
7/3/19 10:44:00 AM,C,56.5
7/3/19 11:14:00 AM,C,60.5
7/3/19 11:44:00 AM,C,60.5
7/3/19 12:14:00 PM,C,61.5
7/3/19 12:44:00 PM,C,63.5
7/3/19 1:14:00 PM,C,67
7/3/19 1:44:00 PM,C,63.5
7/3/19 2:14:00 PM,C,64
7/3/19 2:44:00 PM,C,61.5
7/3/19 3:14:00 PM,C,57.5
7/3/19 3:44:00 PM,C,52.5
7/3/19 4:14:00 PM,C,49.5
7/3/19 4:44:00 PM,C,36.5
7/3/19 5:14:00 PM,C,39
7/3/19 5:44:00 PM,C,36
7/3/19 6:14:00 PM,C,34.5
7/3/19 6:44:00 PM,C,30.5
7/3/19 7:14:00 PM,C,29
7/3/19 7:44:00 PM,C,29
7/3/19 8:14:00 PM,C,29
7/3/19 8:44:00 PM,C,28.5
7/3/19 9:14:00 PM,C,28.5
7/3/19 9:44:00 PM,C,28
7/3/19 10:14:00 PM,C,27.5
7/3/19 10:44:00 PM,C,27.5
7/3/19 11:14:00 PM,C,26.5
7/3/19 11:44:00 PM,C,27
7/4/19 12:14:00 AM,C,26.5
7/4/19 12:44:00 AM,C,26.5
7/4/19 1:14:00 AM,C,26
7/4/19 1:44:00 AM,C,26
7/4/19 2:14:00 AM,C,26
7/4/19 2:44:00 AM,C,26
7/4/19 3:14:00 AM,C,25.5
7/4/19 3:44:00 AM,C,26.5
7/4/19 4:14:00 AM,C,26
7/4/19 4:44:00 AM,C,26
7/4/19 5:14:00 AM,C,26
7/4/19 5:44:00 AM,C,26.5
7/4/19 6:14:00 AM,C,27
7/4/19 6:44:00 AM,C,28.5
7/4/19 7:14:00 AM,C,32
7/4/19 7:44:00 AM,C,37
7/4/19 8:14:00 AM,C,39
7/4/19 8:44:00 AM,C,43.5
7/4/19 9:14:00 AM,C,48
7/4/19 9:44:00 AM,C,46.5
7/4/19 10:14:00 AM,C,51.5
7/4/19 10:44:00 AM,C,59
7/4/19 11:14:00 AM,C,58
7/4/19 11:44:00 AM,C,58.5
7/4/19 12:14:00 PM,C,60.5
7/4/19 12:44:00 PM,C,58
7/4/19 1:14:00 PM,C,57.5
7/4/19 1:44:00 PM,C,58.5
7/4/19 2:14:00 PM,C,58
7/4/19 2:44:00 PM,C,53.5
7/4/19 3:14:00 PM,C,54
7/4/19 3:44:00 PM,C,51
7/4/19 4:14:00 PM,C,47
7/4/19 4:44:00 PM,C,44.5
7/4/19 5:14:00 PM,C,42
7/4/19 5:44:00 PM,C,38
7/4/19 6:14:00 PM,C,32.5
7/4/19 6:44:00 PM,C,28.5
7/4/19 7:14:00 PM,C,28.5
7/4/19 7:44:00 PM,C,28
7/4/19 8:14:00 PM,C,28
7/4/19 8:44:00 PM,C,28
7/4/19 9:14:00 PM,C,26
7/4/19 9:44:00 PM,C,26
7/4/19 10:14:00 PM,C,26.5
7/4/19 10:44:00 PM,C,27
7/4/19 11:14:00 PM,C,27.5
7/4/19 11:44:00 PM,C,25.5
7/5/19 12:14:00 AM,C,26
7/5/19 12:44:00 AM,C,25.5
7/5/19 1:14:00 AM,C,26
7/5/19 1:44:00 AM,C,26
7/5/19 2:14:00 AM,C,26.5
7/5/19 2:44:00 AM,C,26
7/5/19 3:14:00 AM,C,26
7/5/19 3:44:00 AM,C,25
7/5/19 4:14:00 AM,C,25
7/5/19 4:44:00 AM,C,24.5
7/5/19 5:14:00 AM,C,25.5
7/5/19 5:44:00 AM,C,26
7/5/19 6:14:00 AM,C,25.5
7/5/19 6:44:00 AM,C,26.5
7/5/19 7:14:00 AM,C,27.5
7/5/19 7:44:00 AM,C,28
7/5/19 8:14:00 AM,C,26.5
7/5/19 8:44:00 AM,C,31.5
7/5/19 9:14:00 AM,C,40
7/5/19 9:44:00 AM,C,39.5
7/5/19 10:14:00 AM,C,46
7/5/19 10:44:00 AM,C,46.5
7/5/19 11:14:00 AM,C,51
7/5/19 11:44:00 AM,C,43.5
7/5/19 12:14:00 PM,C,52.5
7/5/19 12:44:00 PM,C,31.5
7/5/19 1:14:00 PM,C,36
7/5/19 1:44:00 PM,C,46
7/5/19 2:14:00 PM,C,39.5
7/5/19 2:44:00 PM,C,38
7/5/19 3:14:00 PM,C,38.5
7/5/19 3:44:00 PM,C,35.5
7/5/19 4:14:00 PM,C,42
7/5/19 4:44:00 PM,C,33.5
7/5/19 5:14:00 PM,C,34
7/5/19 5:44:00 PM,C,30.5
7/5/19 6:14:00 PM,C,29.5
7/5/19 6:44:00 PM,C,28
7/5/19 7:14:00 PM,C,27.5
7/5/19 7:44:00 PM,C,27.5
7/5/19 8:14:00 PM,C,27
7/5/19 8:44:00 PM,C,26.5
7/5/19 9:14:00 PM,C,26.5
7/5/19 9:44:00 PM,C,27
7/5/19 10:14:00 PM,C,26.5
7/5/19 10:44:00 PM,C,26.5
7/5/19 11:14:00 PM,C,26.5
7/5/19 11:44:00 PM,C,26
7/6/19 12:14:00 AM,C,26
7/6/19 12:44:00 AM,C,26.5
7/6/19 1:14:00 AM,C,26
7/6/19 1:44:00 AM,C,25.5
7/6/19 2:14:00 AM,C,25.5
7/6/19 2:44:00 AM,C,25.5
7/6/19 3:14:00 AM,C,25.5
7/6/19 3:44:00 AM,C,25
7/6/19 4:14:00 AM,C,25
7/6/19 4:44:00 AM,C,25
7/6/19 5:14:00 AM,C,25
7/6/19 5:44:00 AM,C,25
7/6/19 6:14:00 AM,C,25.5
7/6/19 6:44:00 AM,C,26.5
7/6/19 7:14:00 AM,C,27
7/6/19 7:44:00 AM,C,34.5
7/6/19 8:14:00 AM,C,33.5
7/6/19 8:44:00 AM,C,40.5
7/6/19 9:14:00 AM,C,44
7/6/19 9:44:00 AM,C,46.5
7/6/19 10:14:00 AM,C,45
7/6/19 10:44:00 AM,C,46.5
7/6/19 11:14:00 AM,C,46
7/6/19 11:44:00 AM,C,44.5
7/6/19 12:14:00 PM,C,49.5
7/6/19 12:44:00 PM,C,58.5
7/6/19 1:14:00 PM,C,60
7/6/19 1:44:00 PM,C,58
7/6/19 2:14:00 PM,C,55.5
7/6/19 2:44:00 PM,C,53
7/6/19 3:14:00 PM,C,46.5
7/6/19 3:44:00 PM,C,43
7/6/19 4:14:00 PM,C,46.5
7/6/19 4:44:00 PM,C,44.5
7/6/19 5:14:00 PM,C,38.5
7/6/19 5:44:00 PM,C,29.5
7/6/19 6:14:00 PM,C,30
7/6/19 6:44:00 PM,C,29
7/6/19 7:14:00 PM,C,28
7/6/19 7:44:00 PM,C,28
7/6/19 8:14:00 PM,C,27.5
7/6/19 8:44:00 PM,C,27.5
7/6/19 9:14:00 PM,C,27.5
7/6/19 9:44:00 PM,C,27.5
7/6/19 10:14:00 PM,C,27.5
7/6/19 10:44:00 PM,C,27.5
7/6/19 11:14:00 PM,C,27
7/6/19 11:44:00 PM,C,27
7/7/19 12:14:00 AM,C,25.5
7/7/19 12:44:00 AM,C,26
7/7/19 1:14:00 AM,C,26.5
7/7/19 1:44:00 AM,C,27
7/7/19 2:14:00 AM,C,26.5
7/7/19 2:44:00 AM,C,26.5
7/7/19 3:14:00 AM,C,26.5
7/7/19 3:44:00 AM,C,26.5
7/7/19 4:14:00 AM,C,26.5
7/7/19 4:44:00 AM,C,26
7/7/19 5:14:00 AM,C,26
7/7/19 5:44:00 AM,C,26
7/7/19 6:14:00 AM,C,27
7/7/19 6:44:00 AM,C,27.5
7/7/19 7:14:00 AM,C,29
7/7/19 7:44:00 AM,C,30.5
7/7/19 8:14:00 AM,C,31
7/7/19 8:44:00 AM,C,34.5
7/7/19 9:14:00 AM,C,39
7/7/19 9:44:00 AM,C,42
7/7/19 10:14:00 AM,C,43.5
7/7/19 10:44:00 AM,C,47.5
7/7/19 11:14:00 AM,C,45
7/7/19 11:44:00 AM,C,50
7/7/19 12:14:00 PM,C,52
7/7/19 12:44:00 PM,C,57.5
7/7/19 1:14:00 PM,C,47
7/7/19 1:44:00 PM,C,48.5
7/7/19 2:14:00 PM,C,49.5
7/7/19 2:44:00 PM,C,45
7/7/19 3:14:00 PM,C,50.5
7/7/19 3:44:00 PM,C,45.5
7/7/19 4:14:00 PM,C,42
7/7/19 4:44:00 PM,C,40.5
7/7/19 5:14:00 PM,C,37
7/7/19 5:44:00 PM,C,34
7/7/19 6:14:00 PM,C,31.5
7/7/19 6:44:00 PM,C,29.5
7/7/19 7:14:00 PM,C,28
7/7/19 7:44:00 PM,C,27.5
7/7/19 8:14:00 PM,C,27
7/7/19 8:44:00 PM,C,27
7/7/19 9:14:00 PM,C,27
7/7/19 9:44:00 PM,C,26.5
7/7/19 10:14:00 PM,C,26.5
7/7/19 10:44:00 PM,C,26.5
7/7/19 11:14:00 PM,C,26.5
7/7/19 11:44:00 PM,C,26.5
7/8/19 12:14:00 AM,C,26.5
7/8/19 12:44:00 AM,C,26.5
7/8/19 1:14:00 AM,C,26.5
7/8/19 1:44:00 AM,C,26.5
7/8/19 2:14:00 AM,C,26
7/8/19 2:44:00 AM,C,25.5
7/8/19 3:14:00 AM,C,26
7/8/19 3:44:00 AM,C,25
7/8/19 4:14:00 AM,C,25.5
7/8/19 4:44:00 AM,C,26
7/8/19 5:14:00 AM,C,25.5
7/8/19 5:44:00 AM,C,26
7/8/19 6:14:00 AM,C,25
7/8/19 6:44:00 AM,C,25
7/8/19 7:14:00 AM,C,28.5
7/8/19 7:44:00 AM,C,30.5
7/8/19 8:14:00 AM,C,35.5
7/8/19 8:44:00 AM,C,34.5
7/8/19 9:14:00 AM,C,41
7/8/19 9:44:00 AM,C,47
7/8/19 10:14:00 AM,C,45.5
7/8/19 10:44:00 AM,C,40.5
7/8/19 11:14:00 AM,C,51.5
7/8/19 11:44:00 AM,C,43.5
7/8/19 12:14:00 PM,C,51.5
7/8/19 12:44:00 PM,C,57
7/8/19 1:14:00 PM,C,59.5
7/8/19 1:44:00 PM,C,51
7/8/19 2:14:00 PM,C,40
7/8/19 2:44:00 PM,C,48.5
7/8/19 3:14:00 PM,C,54.5
7/8/19 3:44:00 PM,C,51.5
7/8/19 4:14:00 PM,C,49
7/8/19 4:44:00 PM,C,50.5
7/8/19 5:14:00 PM,C,43.5
7/8/19 5:44:00 PM,C,41.5
7/8/19 6:14:00 PM,C,36
7/8/19 6:44:00 PM,C,31.5
7/8/19 7:14:00 PM,C,30
7/8/19 7:44:00 PM,C,28.5
7/8/19 8:14:00 PM,C,28
7/8/19 8:44:00 PM,C,27.5
7/8/19 9:14:00 PM,C,27.5
7/8/19 9:44:00 PM,C,27
7/8/19 10:14:00 PM,C,27
7/8/19 10:44:00 PM,C,26.5
7/8/19 11:14:00 PM,C,26.5
7/8/19 11:44:00 PM,C,27
7/9/19 12:14:00 AM,C,26.5
7/9/19 12:44:00 AM,C,26.5
7/9/19 1:14:00 AM,C,26.5
7/9/19 1:44:00 AM,C,26.5
7/9/19 2:14:00 AM,C,26.5
7/9/19 2:44:00 AM,C,26.5
7/9/19 3:14:00 AM,C,26.5
7/9/19 3:44:00 AM,C,26.5
7/9/19 4:14:00 AM,C,26.5
7/9/19 4:44:00 AM,C,26.5
7/9/19 5:14:00 AM,C,26.5
7/9/19 5:44:00 AM,C,26
7/9/19 6:14:00 AM,C,26.5
7/9/19 6:44:00 AM,C,28
7/9/19 7:14:00 AM,C,32
7/9/19 7:44:00 AM,C,38.5
7/9/19 8:14:00 AM,C,40
7/9/19 8:44:00 AM,C,42.5
7/9/19 9:14:00 AM,C,45.5
7/9/19 9:44:00 AM,C,50.5
7/9/19 10:14:00 AM,C,54
7/9/19 10:44:00 AM,C,54.5
7/9/19 11:14:00 AM,C,58
7/9/19 11:44:00 AM,C,59.5
7/9/19 12:14:00 PM,C,56
7/9/19 12:44:00 PM,C,45.5
7/9/19 1:14:00 PM,C,43.5
7/9/19 1:44:00 PM,C,39
7/9/19 2:14:00 PM,C,41
7/9/19 2:44:00 PM,C,50.5
7/9/19 3:14:00 PM,C,43.5
7/9/19 3:44:00 PM,C,40.5
7/9/19 4:14:00 PM,C,45.5
7/9/19 4:44:00 PM,C,42.5
7/9/19 5:14:00 PM,C,37.5
7/9/19 5:44:00 PM,C,33
7/9/19 6:14:00 PM,C,31.5
7/9/19 6:44:00 PM,C,30
7/9/19 7:14:00 PM,C,29.5
7/9/19 7:44:00 PM,C,28.5
7/9/19 8:14:00 PM,C,28
7/9/19 8:44:00 PM,C,28
7/9/19 9:14:00 PM,C,27.5
7/9/19 9:44:00 PM,C,27
7/9/19 10:14:00 PM,C,27.5
7/9/19 10:44:00 PM,C,27
7/9/19 11:14:00 PM,C,27.5
7/9/19 11:44:00 PM,C,27
7/10/19 12:14:00 AM,C,27
7/10/19 12:44:00 AM,C,27.5
7/10/19 1:14:00 AM,C,27.5
7/10/19 1:44:00 AM,C,27
7/10/19 2:14:00 AM,C,27
7/10/19 2:44:00 AM,C,27
7/10/19 3:14:00 AM,C,26.5
7/10/19 3:44:00 AM,C,26.5
7/10/19 4:14:00 AM,C,27
7/10/19 4:44:00 AM,C,26.5
7/10/19 5:14:00 AM,C,26.5
7/10/19 5:44:00 AM,C,26.5
7/10/19 6:14:00 AM,C,27
7/10/19 6:44:00 AM,C,28.5
7/10/19 7:14:00 AM,C,32
7/10/19 7:44:00 AM,C,35
7/10/19 8:14:00 AM,C,38.5
7/10/19 8:44:00 AM,C,42.5
7/10/19 9:14:00 AM,C,43
7/10/19 9:44:00 AM,C,49
7/10/19 10:14:00 AM,C,51.5
7/10/19 10:44:00 AM,C,53.5
7/10/19 11:14:00 AM,C,59
7/10/19 11:44:00 AM,C,60
7/10/19 12:14:00 PM,C,63.5
7/10/19 12:44:00 PM,C,65.5
7/10/19 1:14:00 PM,C,67
7/10/19 1:44:00 PM,C,69
7/10/19 2:14:00 PM,C,64
7/10/19 2:44:00 PM,C,65.5
7/10/19 3:14:00 PM,C,48
7/10/19 3:44:00 PM,C,46
7/10/19 4:14:00 PM,C,44.5
7/10/19 4:44:00 PM,C,44.5
7/10/19 5:14:00 PM,C,41.5
7/10/19 5:44:00 PM,C,38
7/10/19 6:14:00 PM,C,32.5
7/10/19 6:44:00 PM,C,31
7/10/19 7:14:00 PM,C,27
7/10/19 7:44:00 PM,C,27
7/10/19 8:14:00 PM,C,27.5
7/10/19 8:44:00 PM,C,27.5
7/10/19 9:14:00 PM,C,27.5
7/10/19 9:44:00 PM,C,27.5
7/10/19 10:14:00 PM,C,27.5
7/10/19 10:44:00 PM,C,27.5
7/10/19 11:14:00 PM,C,28
7/10/19 11:44:00 PM,C,27.5
7/11/19 12:14:00 AM,C,27
7/11/19 12:44:00 AM,C,27
7/11/19 1:14:00 AM,C,27
7/11/19 1:44:00 AM,C,27.5
7/11/19 2:14:00 AM,C,27
7/11/19 2:44:00 AM,C,27
7/11/19 3:14:00 AM,C,26.5
7/11/19 3:44:00 AM,C,27
7/11/19 4:14:00 AM,C,27
7/11/19 4:44:00 AM,C,26.5
7/11/19 5:14:00 AM,C,26.5
7/11/19 5:44:00 AM,C,26.5
7/11/19 6:14:00 AM,C,27
7/11/19 6:44:00 AM,C,27.5
7/11/19 7:14:00 AM,C,30.5
7/11/19 7:44:00 AM,C,33
7/11/19 8:14:00 AM,C,37.5
7/11/19 8:44:00 AM,C,42
7/11/19 9:14:00 AM,C,43.5
7/11/19 9:44:00 AM,C,44.5
7/11/19 10:14:00 AM,C,49.5
7/11/19 10:44:00 AM,C,53.5
7/11/19 11:14:00 AM,C,56.5
7/11/19 11:44:00 AM,C,49
7/11/19 12:14:00 PM,C,49
7/11/19 12:44:00 PM,C,45.5
7/11/19 1:14:00 PM,C,32.5
7/11/19 1:44:00 PM,C,27
7/11/19 2:14:00 PM,C,37
7/11/19 2:44:00 PM,C,29
7/11/19 3:14:00 PM,C,36
7/11/19 3:44:00 PM,C,40
7/11/19 4:14:00 PM,C,32
7/11/19 4:44:00 PM,C,28.5
7/11/19 5:14:00 PM,C,32.5
7/11/19 5:44:00 PM,C,24.5
7/11/19 6:14:00 PM,C,25
7/11/19 6:44:00 PM,C,24.5
7/11/19 7:14:00 PM,C,24.5
7/11/19 7:44:00 PM,C,23.5
7/11/19 8:14:00 PM,C,25.5
7/11/19 8:44:00 PM,C,25.5
7/11/19 9:14:00 PM,C,25.5
7/11/19 9:44:00 PM,C,25.5
7/11/19 10:14:00 PM,C,25.5
7/11/19 10:44:00 PM,C,25.5
7/11/19 11:14:00 PM,C,25.5
7/11/19 11:44:00 PM,C,26
7/12/19 12:14:00 AM,C,26
7/12/19 12:44:00 AM,C,26
7/12/19 1:14:00 AM,C,26
7/12/19 1:44:00 AM,C,25.5
7/12/19 2:14:00 AM,C,25.5
7/12/19 2:44:00 AM,C,26
7/12/19 3:14:00 AM,C,26
7/12/19 3:44:00 AM,C,25.5
7/12/19 4:14:00 AM,C,26
7/12/19 4:44:00 AM,C,26
7/12/19 5:14:00 AM,C,26
7/12/19 5:44:00 AM,C,25.5
7/12/19 6:14:00 AM,C,26
7/12/19 6:44:00 AM,C,26
7/12/19 7:14:00 AM,C,30
7/12/19 7:44:00 AM,C,31.5
7/12/19 8:14:00 AM,C,35
7/12/19 8:44:00 AM,C,38.5
7/12/19 9:14:00 AM,C,42.5
7/12/19 9:44:00 AM,C,44
7/12/19 10:14:00 AM,C,48
7/12/19 10:44:00 AM,C,52.5
7/12/19 11:14:00 AM,C,55
7/12/19 11:44:00 AM,C,56.5
7/12/19 12:14:00 PM,C,60
7/12/19 12:44:00 PM,C,57
7/12/19 1:14:00 PM,C,51.5
7/12/19 1:44:00 PM,C,57
7/12/19 2:14:00 PM,C,47.5
